:ID,factor
why_the_man_is_a_desperate_escaped/f1d688bb,The man is a desperate escaped convict exerting power through fear
why_pip_is_frightened_by_the_man’s/0a7038d3,Pip is frightened by the man’s threats and seeks physical and emotional support
why_the_man_is_probing_pip’s_famil/a33bdde5,The man is probing Pip’s family situation and presence in the churchyard
why_pip_answers_the_man’s_question/088df3a0,Pip answers the man’s question literally by pointing to the grave
why_pip’s_orphaned_status_is_revea/b04414c8,Pip’s orphaned status is revealed and emphasized through the tombstone
why_the_man_needs_to_know_who_pip_/809e785f,The man needs to know who Pip belongs to and whether he can threaten or use him safely
why_the_man_is_evaluating_pip's_so/3b454e7a,The man is evaluating Pip's social ties and possible help or retaliation from adults
why_introducing_pip’s_guardians_an/185a549d,Introducing Pip’s guardians and Joe as key figures in his life
why_a_blacksmith_is_directly_relev/f4e37dd5,"A blacksmith is directly relevant to his leg, suggesting irons, chains, or escape needs"
why_the_man_is_likely_a_convict_as/9a77925e,The man is likely a convict associating blacksmithing with removing restraints
why_foreshadowing_future_involveme/8fc48d2e,Foreshadowing future involvement of Joe’s skills with the man’s condition
why_convict_needs_a_file_to_remove/b1f13e96,Convict needs a file to remove his leg-iron and food to survive
why_pip_is_a_vulnerable_child_alon/0a59feb7,Pip is a vulnerable child alone in a desolate churchyard
why_the_convict_uses_physical_domi/8a890ec2,The convict uses physical domination (tilting Pip back) to enhance fear and compliance
"why_pip_feels_intense_fear,_giddin/fd6875f4","Pip feels intense fear, giddiness, and physical discomfort from being tilted back"
why_pip_believes_that_being_allowe/d9cd15cb,Pip believes that being allowed to stand upright will help him obey the convict's demands
why_convict_needs_a_file_and_food_/cd1f07ae,Convict needs a file and food to aid his escape and survival
why_use_of_terrifying_threats_and_/c87e8f57,Use of terrifying threats and an invented ‘young man’ to ensure the boy’s obedience
why_pip’s_fear_and_vulnerability_a/55a9ad74,Pip’s fear and vulnerability as a child alone with a desperate criminal
why_pip_is_terrified_by_threats_of/3feafc2e,Pip is terrified by threats of violent death and the mysterious ‘young man’
why_power_imbalance_between_a_smal/3a1f26c6,Power imbalance between a small boy and a violent adult convict
why_the_man_depends_on_pip_to_brin/fd5f8c35,The man depends on Pip to bring him food and a file as promised
why_threat_of_the_'young_man'_is_u/268b0e99,Threat of the 'young man' is used to intimidate Pip into compliance
why_he_needs_to_return_to_hiding_o/8681a0b2,He needs to return to hiding on the marshes near the river
why_his_physical_suffering_from_co/ef88c40d,"His physical suffering from cold, wet, and injury drives his movements"
why_pip_is_frightened_by_the_man_a/51e8ff81,Pip is frightened by the man and by the atmosphere of the graveyard
why_pip’s_childish_imagination_tra/3c273220,Pip’s childish imagination transforms the graves into grasping hands
why_the_bleak_marsh_landscape_heig/ad18a3e7,The bleak marsh landscape heightens his sense of dread
why_pip_pauses_to_watch_the_man_an/e6474e4a,Pip pauses to watch the man and takes in the surrounding scene
"why_the_bleak_lines_of_marsh,_rive/7c7d33ee","The bleak lines of marsh, river, and sky underscore the loneliness and severity of the situation"
why_pip_is_scanning_the_bleak_land/b94ed183,Pip is scanning the bleak landscape after his encounter with the convict
why_the_limping_man’s_movement_tow/91f95f08,The limping man’s movement toward the gibbet visually connects him with the executed pirate
why_childlike_imagination_connects/5d8207fd,Childlike imagination connects the limping man with the pirate’s chains on the gibbet
why_recent_exposure_to_fear_and_th/a2e05c0a,Recent exposure to fear and threats on the marshes heightens Pip’s terror
why_pip_cannot_locate_the_imagined/e5abb38e,Pip cannot locate the imagined ‘horrible young man’ and feels unsafe on the marshes
why_prior_threat_about_the_‘young_/d405bdb9,Prior threat about the ‘young man’ makes Pip hyper-vigilant and fearful
