:ID,name
place_narrative_reflection/da32bccd,Narrative reflection
place_near_the_tombstone/51764216,near the tombstone
place_near_the_tombstone/730f1421,near the tombstone
place_near_the_tombstone/f54fc753,near the tombstone
place_on_the_tombstone/6ba24413,on the tombstone
place_on_the_tombstone/0fcb372f,on the tombstone
place_on_the_tombstone/1a495061,on the tombstone
place_on_the_tombstone/5315b29f,on the tombstone
place_near_the_tombstone/86dbf4f8,near the tombstone
place_near_the_tombstone/a4c4c06e,near the tombstone
place_near_the_tombstone/17fb85ef,near the tombstone
place_near_the_tombstone/04ce09b0,near the tombstone
place_near_the_tombstone/c697ff53,near the tombstone
place_near_the_tombstone/c2d567d7,near the tombstone
place_beside_the_tombstone/4a71e0ef,beside the tombstone
place_beside_the_tombstone_(direction_indicated_as_'there')/e4c3a45e,beside the tombstone (direction indicated as 'There')
place_beside_the_tombstone/536050a4,beside the tombstone
place_near_the_churchyard_(unspecified_immediate_area)/1641b09b,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/6cbc59ec,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/e7588e4e,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/f49d4e23,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/63b1a40f,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/4e7824d6,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/89d70da3,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/ddd47863,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/3039b76c,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/0f0ad417,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/b3f9fb1a,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/d082d600,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/5f1641dc,near the churchyard (unspecified immediate area)
place_near_the_churchyard_(unspecified_immediate_area)/71e335e0,near the churchyard (unspecified immediate area)
place_near_the_narrator's_tombstone/c00d4fb7,near the narrator's tombstone
place_at_the_narrator's_tombstone/df0904ac,at the narrator's tombstone
place_at_the_narrator's_tombstone/9d3eb471,at the narrator's tombstone
place_at_the_narrator's_tombstone/0c534985,at the narrator's tombstone
place_at_the_narrator's_tombstone/0a8871dd,at the narrator's tombstone
place_at_the_narrator's_tombstone/b1cb5702,at the narrator's tombstone
place_at_the_narrator's_tombstone/9a3bf212,at the narrator's tombstone
place_at_the_narrator's_tombstone/b56d1a2d,at the narrator's tombstone
place_at_the_narrator's_tombstone/0eaaa0d4,at the narrator's tombstone
place_at_the_narrator's_tombstone/6461c92d,at the narrator's tombstone
place_at_the_narrator's_tombstone/07b96699,at the narrator's tombstone
place_at_the_narrator's_tombstone/5586c9af,at the narrator's tombstone
place_at_the_narrator's_tombstone/5c9046ab,at the narrator's tombstone
place_at_the_narrator's_tombstone/35ee2111,at the narrator's tombstone
place_at_the_narrator's_tombstone/773f3502,at the narrator's tombstone
place_at_the_narrator's_tombstone/8403ffff,at the narrator's tombstone
place_at_the_narrator's_tombstone/9c30b111,at the narrator's tombstone
place_at_the_narrator's_tombstone/b1d61008,at the narrator's tombstone
place_at_the_narrator's_tombstone/022304df,at the narrator's tombstone
place_at_the_narrator's_tombstone/ba84e9b2,at the narrator's tombstone
place_at_the_narrator's_tombstone/e6f63b9a,at the narrator's tombstone
place_at_the_narrator's_tombstone/0b70d9dd,at the narrator's tombstone
place_at_the_narrator's_tombstone/f9bce74e,at the narrator's tombstone
place_at_the_narrator's_tombstone/de39e4a0,at the narrator's tombstone
"place_near_the_church,_on_top_of_the_stone/2f766c4f","near the church, on top of the stone"
"place_near_the_church,_on_top_of_the_stone/9963620b","near the church, on top of the stone"
place_on_the_top_of_the_stone/389d897f,on the top of the stone
place_on_the_top_of_the_stone/fa6ee946,on the top of the stone
place_on_the_top_of_the_stone/d1ec8238,on the top of the stone
"place_near_the_church,_on_the_top_of_the_stone_(speaking_about_old_battery)/a43716f2","near the church, on the top of the stone (speaking about old Battery)"
place_on_the_top_of_the_stone/c0b7d6c0,on the top of the stone
place_on_the_top_of_the_stone/5acb6301,on the top of the stone
place_on_the_top_of_the_stone/a1ad8b2c,on the top of the stone
place_on_the_top_of_the_stone/6b223de3,on the top of the stone
place_on_the_top_of_the_stone_(young_man_said_to_be_hidden_nearby)/e4780111,on the top of the stone (young man said to be hidden nearby)
place_on_the_top_of_the_stone/15840f3a,on the top of the stone
place_on_the_top_of_the_stone/598fa54c,on the top of the stone
place_on_the_top_of_the_stone/86959dbb,on the top of the stone
place_on_the_top_of_the_stone_(describing_indoor_scenes_hypothetically)/1dd412cd,on the top of the stone (describing indoor scenes hypothetically)
place_boy’s_bed_(hypothetical)/399862b5,boy’s bed (hypothetical)
place_on_the_top_of_the_stone/e00391f5,on the top of the stone
place_on_the_top_of_the_stone/b988956e,on the top of the stone
place_on_the_top_of_the_stone/c71711cc,on the top of the stone
place_on_the_top_of_the_stone/f3b9fe24,on the top of the stone
place_on_the_top_of_the_stone/3d175202,on the top of the stone
place_on_the_top_of_the_stone/21c0d2db,on the top of the stone
place_on_the_top_of_the_stone/e45aa404,on the top of the stone
place_unspecified_outdoor_location_near_the_marshes/7b63dc25,unspecified outdoor location near the marshes
place_cold_wet_flat/4f4c8420,cold wet flat
place_cold_wet_flat/48f8cf4e,cold wet flat
place_cold_wet_flat/725bb0fd,cold wet flat
place_cold_wet_flat/6082525f,cold wet flat
place_near_the_low_church_wall/10c33499,near the low church wall
place_near_the_low_church_wall/1d453121,near the low church wall
place_towards_the_low_church_wall_across_the_marshy_ground/ecac10a8,towards the low church wall across the marshy ground
place_near_the_churchyard_/_marsh_edge/138b6ec3,near the churchyard / marsh edge
place_ground_near_low_church_wall_with_nettles/2aeacd5c,ground near low church wall with nettles
place_among_brambles_that_bound_the_green_mounds_in_the_churchyard/fad8d503,among brambles that bound the green mounds in the churchyard
place_churchyard_among_graves/c12b30c8,churchyard among graves
place_graves_/_churchyard/6468e9de,graves / churchyard
place_graves_/_churchyard/b9dfa0b8,graves / churchyard
place_low_church_wall/a966244c,low church wall
place_low_church_wall/3f45dfb2,low church wall
place_just_beyond_the_low_church_wall/6993a78b,just beyond the low church wall
place_near_the_churchyard/caf8a7a2,near the churchyard
place_near_the_churchyard/356cd0bd,near the churchyard
place_path_towards_home_from_the_churchyard/efb7af0d,path towards home from the churchyard
place_on_the_way_home/0ef9ba5b,on the way home
place_marshes_leading_towards_the_river/cc3f9c22,marshes leading towards the river
place_marsh_path_towards_the_river/f10a3e54,marsh path towards the river
place_marshes_with_great_stones_for_stepping-places/f6a03ad5,marshes with great stones for stepping-places
place_marshes/7883f622,marshes
place_edge_of_marshes_with_view_of_river_and_sky/63eab48e,edge of marshes with view of river and sky
place_marshes/94f6f112,marshes
place_river_beyond_the_marshes/3356bfec,river beyond the marshes
place_sky_above_marshes_and_river/059238a8,sky above marshes and river
place_edge_of_the_river/b4db69b4,edge of the river
place_edge_of_the_river/a0c7b79f,edge of the river
place_edge_of_the_river/5baf34ec,edge of the river
place_near_the_beacon_by_the_river/371c4cec,near the beacon by the river
place_edge_of_the_river/8d856882,edge of the river
place_at_the_gibbet_by_the_river/11374e10,at the gibbet by the river
place_at_the_gibbet_by_the_river/dc4d43fa,at the gibbet by the river
place_towards_the_gibbet_by_the_river/a3dc772a,towards the gibbet by the river
"place_edge_of_the_river,_observing_the_gibbet/d34faab3","edge of the river, observing the gibbet"
"place_edge_of_the_river,_looking_at_gibbet/2e58b893","edge of the river, looking at gibbet"
place_edge_of_the_river/8e632b3e,edge of the river
place_fields_near_the_river/2b0bdfcc,fields near the river
place_fields_near_the_river/b203ffc4,fields near the river
"place_fields/river_edge,_observing_cattle/6811d5e6","fields/river edge, observing cattle"
place_edge_of_the_river_/_surrounding_area/08219d0a,edge of the river / surrounding area
place_edge_of_the_river_/_surrounding_prospect/a44673a1,edge of the river / surrounding prospect
place_edge_of_the_river_/_marshes/63c597bf,edge of the river / marshes
place_from_edge_of_the_river_/_marshes_to_home/c4225afc,from edge of the river / marshes to home
