:ID,name,eventType,actionType,source_quote,causeWeight,confidence,sequence,chapter,time,location
event/afadce06,Pip recognizes the sea,perception/recognition,recognize,the distant savage lair from which the wind was rushing was the sea,1.0,0.8,21,1,,marshes
event/488095ea,Pip feels afraid,reflection/emotion,feel,the small bundle of shivers growing afraid of it all,1.0,0.9,22,1,,marshes
event/e6fb488e,Pip begins to cry,reflection/emotion,fear,beginning to cry,1.0,0.9,23,1,,marshes
event/2b7abd3e,A man starts up from among the graves,movement/departure,start,as a man started up from among the graves at the side of the church porch.,1.0,0.8,24,1,,church porch
event/0b6736f7,A man shouts to keep quiet,encounter/dialogue,fear,“Hold your noise!” cried a terrible voice,1.0,0.9,25,1,,church porch
event/0649a2c3,A man threatens,conflict/threat,threaten,or I’ll cut your throat!,1.0,0.9,26,1,,church porch
event/550e0d9a,A man addresses Pip,encounter/dialogue,address,"Keep still, you little devil",1.0,0.8,27,1,,church porch
event/5a23c5d6,Fearful man appears,perception/recognition,appear,"A fearful man, all in coarse grey, with a great iron on his leg.",1.0,0.9,28,1,,church porch
event/d0b3d0bc,Man's appearance described,perception/recognition,describe,"A man with no hat, and with broken shoes, and with an old rag tied round his head.",1.0,0.8,29,1,,church porch
event/53c4c31e,Man's condition detailed,perception/recognition,detail,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",1.0,0.8,30,1,,church porch
event/4d8fa7a9,Man's physical state described,perception/recognition,describe,"who limped, and shivered, and glared, and growled; and whose teeth chattered in his head.",1.0,0.8,31,1,,church porch
event/72f15bf4,Man seizes Pip,action,seize,as he seized me by the chin.,1.0,0.9,32,1,,church porch
event/95f88088,Pip pleads for his life,encounter/dialogue,plead,"Oh! Don’t cut my throat, sir,” I pleaded in terror.",1.0,0.9,33,1,,church porch
event/40d14de1,Pip expresses terror,reflection/emotion,express,I pleaded in terror.,1.0,0.9,34,1,,church porch
event/8056214a,Pip prays for mercy,encounter/dialogue,pray,"Pray don’t do it, sir.",1.0,0.9,35,1,,church porch
event/2dc4eb45,Man speaks to Pip,encounter/dialogue,speak,"Once more,” said the man, staring at me.",1.0,0.9,36,1,,church porch
event/4e2b0af5,Man demands action from Pip,action,demand,Give it mouth!,1.0,0.9,37,1,,church porch
event/a7220112,Man stares at Pip,perception/recognition,stare,staring at me.,1.0,0.8,38,1,,church porch
event/89e020d5,Man asks Pip to show where he lives,encounter/dialogue,demand,"Show us where you live,” said the man.",1.0,0.9,39,1,,church porch
event/aa669e92,Man demands Pip to point out the place,encounter/dialogue,demand,Pint out the place!,1.0,0.9,40,1,,church porch
event/ec173271,Pip points to the village,action,point,"I pointed to where our village lay, on the flat in-shore among the alder-trees and pollards, a mile or more from the church.",1.0,1.0,41,1,,in-shore among the alder-trees and pollards
event/5d553e7d,Man looks at Pip,perception/recognition,watch,"The man, after looking at me for a moment...",1.0,0.9,42,1,,in-shore among the alder-trees and pollards
event/b5d2dd9f,Man turns Pip upside down,action,turn,turned me upside down,1.0,0.9,43,1,,in-shore among the alder-trees and pollards
event/bdb40db5,Man empties Pip's pockets,action,empty,emptied my pockets,1.0,0.9,44,1,,in-shore among the alder-trees and pollards
event/5fd0449d,Pip finds nothing in pockets,reflection/emotion,discover,There was nothing in them but a piece of bread.,1.0,0.8,45,1,,in-shore among the alder-trees and pollards
event/e9790265,Church comes to itself,state change,recover,when the church came to itself,1.0,0.7,46,1,,church
event/a47e19f1,Pip sees the steeple under his feet,perception/recognition,perceive,I saw the steeple under my feet,1.0,0.8,47,1,,church
event/85d7855c,Pip is seated on a high tombstone,state change,be seated,I was seated on a high tombstone,1.0,0.9,48,1,,high tombstone
event/1bede24a,Pip trembles,reflection/emotion,fear,trembling while he ate the bread ravenously,1.0,0.9,49,1,,high tombstone
event/2ee7f941,Man eats the bread ravenously,action,eat,he ate the bread ravenously,1.0,0.9,50,1,,high tombstone
event/d9eeddd3,Man comments on Pip's appearance,encounter/dialogue,comment,"You young dog,” said the man, licking his lips, “what fat cheeks you ha’ got.",1.0,0.9,51,1,,high tombstone
event/88722ab4,Pip perceives the size of others,perception/recognition,perceive,"I believe they were fat, though I was at that time undersized for my years, and not strong.",1.0,0.9,52,1,at that time,high tombstone
event/1e7b7fff,Pip reflects on his own size and strength,reflection/emotion,reflect,"I believe they were fat, though I was at that time undersized for my years, and not strong.",1.0,0.8,53,1,at that time,high tombstone
event/b49ca6a3,Man expresses desire to eat,encounter/dialogue,express,"Darn me if I couldn’t eat ’em,” said the man, with a threatening shake of his head, “and if I han’t half a mind to’t!",1.0,0.9,54,1,,high tombstone
event/ce9d2299,Man shakes his head threateningly,action,shake,with a threatening shake of his head,1.0,0.85,55,1,,high tombstone
event/2064e970,Pip expresses hope,reflection/emotion,express,I earnestly expressed my hope that he wouldn’t,1.0,0.9,56,1,,high tombstone
event/471cba0d,Pip holds tighter to the tombstone,action,hold,held tighter to the tombstone on which he had put me,1.0,0.9,57,1,,high tombstone
event/521a3221,Pip holds tighter to the tombstone to avoid crying,action,hold,"partly, to keep myself from crying",1.0,0.9,58,1,,high tombstone
event/3d2b15e7,Man asks about Pip's mother,encounter/dialogue,demand,“Now lookee here!” said the man. “Where’s your mother?”,1.0,0.9,59,1,,high tombstone
event/92643efb,Pip starts running,movement/departure,start,"He started, made a short run",1.0,0.9,60,1,,high tombstone
event/2dd0da0e,Pip stops running,movement/departure,stop,and stopped,1.0,0.9,61,1,,high tombstone
event/0441ef01,Pip looks over his shoulder,perception/recognition,watch,and looked over his shoulder,1.0,0.9,62,1,,high tombstone
event/984fa51e,Pip explains his relationship to Georgiana,encounter/dialogue,explain,"There, sir!” I timidly explained. “Also Georgiana. That’s my mother.",1.0,0.9,63,1,,high tombstone
event/33846e94,Pip expresses surprise,reflection/emotion,exclaim,Oh!,1.0,0.9,64,1,,high tombstone
event/8292701c,Pip returns to the conversation,movement/departure,come back,"said he, coming back",1.0,0.8,65,1,,high tombstone
event/6d1aa22e,Pip inquires about family,encounter/dialogue,demand,And is that your father alonger your mother?,1.0,0.9,66,1,,high tombstone
event/279cb940,Pip acknowledges presence of another person,encounter/dialogue,acknowledge,"Yes, sir,” said I; “him too; late of this parish.",1.0,0.9,67,1,,high tombstone
event/ec67b979,Pip is questioned about his living situation,encounter/dialogue,question,"“Who d’ye live with,—supposin’ you’re kindly let to live, which I han’t made up my mind about?”",1.0,0.9,68,1,,high tombstone
event/7db73ef1,Magwitch expresses uncertainty about Pip's fate,reflection/emotion,consider,which I han’t made up my mind about,1.0,0.8,69,1,,high tombstone
event/f9ab8f58,Introduction of Mrs. Joe Gargery,other,introduce,"My sister, sir,—Mrs. Joe Gargery,—wife of Joe Gargery, the blacksmith, sir.",1.0,0.9,70,1,,high tombstone
event/acc75437,Magwitch speaks to Pip,encounter/dialogue,speak,"“Blacksmith, eh?” said he.",1.0,0.9,71,1,,high tombstone
event/f9e3d25e,Magwitch looks at his leg,perception/recognition,watch,And looked down at his leg.,1.0,0.8,72,1,,high tombstone
event/b2a3296d,Magwitch looks at Pip and his leg,perception/recognition,watch,After darkly looking at his leg and me several times,1.0,0.9,73,1,,high tombstone
event/45579680,Magwitch approaches Pip's tombstone,movement/departure,come closer,he came closer to my tombstone,1.0,0.9,74,1,,tombstone
event/00f4c64c,Magwitch takes Pip by both arms,action,take,took me by both arms,1.0,0.9,75,1,,tombstone
event/92384f0e,Magwitch tilts Pip back,action,tilt,tilted me back as far as he could hold me,1.0,0.9,76,1,,tombstone
event/bdd6fd2b,Magwitch looks powerfully into Pip's eyes,perception/recognition,watch,his eyes looked most powerfully down into mine,1.0,0.9,77,1,,tombstone
event/9710f606,Pip looks helplessly up into Magwitch's eyes,perception/recognition,watch,and mine looked most helplessly up into his,1.0,0.9,78,1,,tombstone
event/37977345,Magwitch questions Pip about living,encounter/dialogue,question,"“Now lookee here,” he said, “the question being whether you’re to be let to live. You know what a file is?”",1.0,0.9,79,1,,tombstone
event/3f325624,Pip feels helplessness and danger,reflection/emotion,feel,so as to give me a greater sense of helplessness and danger.,1.0,0.9,80,1,,tombstone
event/90527ae7,Pip is tilted over,action,tilt,After each question he tilted me over a little more,1.0,0.8,81,1,,tombstone
event/3914c057,Request for a file,encounter/dialogue,request,You get me a file.,1.0,0.9,82,1,,tombstone
event/96795492,Request for wittles,encounter/dialogue,request,And you get me wittles.,1.0,0.9,83,1,,tombstone
event/d65d3fc6,Demand to bring items,encounter/dialogue,demand,You bring ’em both to me.,1.0,0.9,84,1,,tombstone
event/c2da4fef,Threat of violence,conflict/threat,threaten,Or I’ll have your heart and liver out.,1.0,0.9,85,1,,tombstone
event/3a4320a4,Repeated tilting,action,tilt,He tilted me again.,1.0,0.9,86,1,,tombstone
event/f73bb4d4,Pip feels frightened,reflection/emotion,feel,I was dreadfully frightened,1.0,1.0,87,1,,tombstone
event/3556b038,Pip feels giddy,reflection/emotion,feel,and so giddy,1.0,1.0,88,1,,tombstone
event/0bcc9a50,Pip clings to the man,action,cling,I clung to him with both hands,1.0,1.0,89,1,,tombstone
event/8e7ebe64,Pip requests assistance,encounter/dialogue,request,"and said, 'If you would kindly please to let me keep upright, sir'",1.0,1.0,90,1,,tombstone
event/3c7bb2da,Pip expresses a desire to avoid sickness,reflection/emotion,express,perhaps I shouldn’t be sick,1.0,1.0,91,1,,tombstone
event/23ba49f2,Pip expresses a desire to attend more,reflection/emotion,express,and perhaps I could attend more,1.0,1.0,92,1,,tombstone
event/aa34e34b,Pip experiences a tremendous dip and roll,action,experience,"He gave me a most tremendous dip and roll, so that the church jumped over its own weathercock.",1.0,0.9,93,1,,church
event/ec401a4d,Magwitch holds Pip by the arms,action,hold,"Then, he held me by the arms, in an upright position on the top of the stone.",1.0,0.9,94,1,,church
event/5b5f1831,Magwitch speaks in fearful terms,encounter/dialogue,speak,and went on in these fearful terms:—,1.0,0.9,95,1,,church
event/2ba72db8,Magwitch demands items from Pip,encounter/dialogue,demand,"You bring me, to-morrow morning early, that file and them wittles.",1.0,0.9,96,1,tomorrow morning early,old Battery
event/ffc517f8,Magwitch threatens Pip,conflict/threat,threaten,"You fail, or you go from my words in any partickler, no matter how small it is, and your heart and your liver shall be tore out, roasted, and ate.",1.0,0.9,97,1,,old Battery
event/2e0baabb,Magwitch reveals he is not alone,perception/recognition,reveal,"Now, I ain’t alone, as you may think I am.",1.0,0.8,98,1,,old Battery
event/21d7a7dc,Magwitch mentions the young man,perception/recognition,mention,"There’s a young man hid with me, in comparison with which young man I am a Angel.",1.0,0.8,99,1,,old Battery
event/37400f96,Magwitch states the young man hears him,perception/recognition,state,That young man hears the words I speak.,1.0,0.8,100,1,,old Battery
event/bc22f9cb,Young man has a secret way of getting at a boy,reflection/emotion,have,"That young man has a secret way pecooliar to himself, of getting at a boy, and at his heart, and at his liver.",1.0,0.9,101,1,,old Battery
event/e7cfe658,Boy attempts to hide from the young man,action,attempt,It is in vain for a boy to attempt to hide himself from that young man.,1.0,0.8,102,1,,old Battery
event/5898a23e,Boy locks his door,action,lock,A boy may lock his door.,1.0,0.8,103,1,,old Battery
event/5f68c3d5,Boy is warm in bed,state change,be,may be warm in bed.,1.0,0.8,104,1,,old Battery
event/a69640c8,Boy tucks himself up,action,tuck,may tuck himself up.,1.0,0.8,105,1,,old Battery
event/fde6adc0,Boy draws the clothes over his head,action,draw,may draw the clothes over his head.,1.0,0.8,106,1,,old Battery
event/b7cf665d,Boy thinks himself comfortable and safe,reflection/emotion,imagine,may think himself comfortable and safe.,1.0,0.8,107,1,,old Battery
event/233b377e,Young man softly creeps to the boy,action,creep,that young man will softly creep and creep his way to him.,1.0,0.9,108,1,,old Battery
event/82296117,Young man tears the boy open,action,tear,and tear him open.,1.0,0.9,109,1,,old Battery
event/3f28ce9f,Speaker is keeping the young man from harming the boy,action,keep,"I am a keeping that young man from harming of you at the present moment, with great difficulty.",1.0,0.9,110,1,,old Battery
event/c9a0d280,Speaker finds it hard to hold the young man off,reflection/emotion,perceive,I find it wery hard to hold that young man off of your inside.,1.0,0.9,111,1,,old Battery
event/4461653e,Speaker asks the boy what he says,encounter/dialogue,demand,"Now, what do you say?",1.0,0.9,112,1,,old Battery
event/ae748e30,Promise to retrieve the file,assistance/exchange,promise,I said that I would get him the file,1.0,0.9,113,1,early in the morning,the Battery
event/7e54b79f,Promise to bring broken bits of food,assistance/exchange,promise,I would get him what broken bits of food I could,1.0,0.9,114,1,early in the morning,the Battery
event/5359b123,Plan to visit at the Battery,movement/departure,visit,"I would come to him at the Battery, early in the morning",1.0,0.9,115,1,early in the morning,the Battery
event/eed4f649,Man threatens with curse,encounter/dialogue,say,“Say Lord strike you dead if you don’t!” said the man.,1.0,0.9,116,1,,the Battery
event/818bac87,Pip reminds someone of their undertaking,encounter/dialogue,remind,"Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!",1.0,0.9,117,1,,the Battery
event/594d616b,Pip instructs someone to go home,action,instruct,"Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!",1.0,0.9,118,1,,the Battery
event/49513e9a,He expresses a wish to be a frog or an eel,reflection/emotion,wish,I wish I was a frog. Or a eel!,1.0,0.9,119,1,,the Battery
event/679e0030,He glances about him,action,glance,"said he, glancing about him over the cold wet flat.",1.0,0.8,120,1,,cold wet flat
event/6983c710,Pip observes the man limping,perception/recognition,perceive,"As I saw him go, picking his way among the nettles, and among the brambles that bound the green mounds...",1.0,0.9,121,1,,low church wall
event/8178920e,Pip feels fear about the man,reflection/emotion,feel,he looked in my young eyes as if he were eluding the hands of the dead people...,1.0,0.8,122,1,,low church wall
event/91ffe84a,The man hugs himself,action,hug,"he hugged his shuddering body in both his arms,—clasping himself, as if to hold himself together,—",1.0,0.8,123,1,,low church wall
event/ec0522a4,The man limps towards the wall,movement/departure,limp,and limped towards the low church wall.,1.0,0.9,124,1,,low church wall
event/c4aace7c,The man picks his way among the nettles and brambles,action,pick,"picking his way among the nettles, and among the brambles that bound the green mounds...",1.0,0.8,125,1,,low church wall
event/86ee419b,Pip sees the man turning,perception/recognition,perceive,"When I saw him turning, I set my face towards home...",1.0,0.9,126,1,,low church wall
event/da8cee27,Pip sets his face towards home,movement/departure,set,I set my face towards home...,1.0,0.9,127,1,,low church wall
event/96f9ad63,Pip makes the best use of his legs,action,make,and made the best use of my legs.,1.0,0.9,128,1,,low church wall
event/775df990,Pip looks over his shoulder,perception/recognition,watch,But presently I looked over my shoulder...,1.0,0.9,129,1,,low church wall
event/ec19cd15,Pip sees the man going towards the river,perception/recognition,perceive,and saw him going on again towards the river...,1.0,0.9,130,1,,the river
event/0f12550c,The man hugs himself,action,hug,still hugging himself in both arms...,1.0,0.9,131,1,,the river
event/80e4ea27,The man picks his way among the stones,action,pick,picking his way with his sore feet among the great stones...,1.0,0.9,132,1,,the marshes
event/92b0a3f7,Pip stops to look,movement/departure,stop,as I stopped to look after him,1.0,0.9,133,1,,the marshes
event/f57521df,Pip perceives the marshes,perception/recognition,perceive,The marshes were just a long black horizontal line then,1.0,0.9,134,1,,the marshes
event/ad8a12bd,Pip perceives the river,perception/recognition,perceive,and the river was just another horizontal line,1.0,0.9,135,1,,the river
event/2bf9897d,Pip perceives the sky,perception/recognition,perceive,and the sky was just a row of long angry red lines and dense black lines intermixed,1.0,0.9,136,1,,the sky
event/e7608262,Pip perceives the black things,perception/recognition,make out,I could faintly make out the only two black things in all the prospect that seemed to be standing upright,1.0,0.9,137,1,,river
event/ec654152,Pip identifies the beacon,perception/recognition,identify,one of these was the beacon by which the sailors steered,1.0,0.9,138,1,,river
event/68302d52,Pip describes the beacon,reflection/emotion,describe,an ugly thing when you were near it,1.0,0.9,139,1,,river
event/4ce1740d,Pip identifies the gibbet,perception/recognition,identify,"the other, a gibbet, with some chains hanging to it which had once held a pirate",1.0,0.9,140,1,,river
event/34915f4a,A man limps towards the gibbet,movement/departure,limp,The man was limping on towards this latter,1.0,0.8,141,1,,river
event/cef8c78e,Pip perceives the man as the pirate,perception/recognition,perceive,as if he were the pirate come to life,1.0,0.9,142,1,,river
event/10b79d45,The man goes back to the gibbet,movement/departure,go back,"and come down, and going back to hook himself up again",1.0,0.8,143,1,,river
event/2892e65e,Pip feels a terrible turn,reflection/emotion,feel,It gave me a terrible turn when I thought so;,1.0,0.9,144,1,,river
event/2675fffa,Pip perceives cattle lifting their heads,perception/recognition,perceive,"as I saw the cattle lifting their heads to gaze after him,",1.0,0.8,145,1,,river
event/9a4c4202,Pip wonders about the cattle's thoughts,reflection/emotion,wonder,I wondered whether they thought so too.,1.0,0.8,146,1,,river
event/6b58ed18,Pip looks around for the young man,action,watch,"I looked all round for the horrible young man,",1.0,0.9,147,1,,river
event/211c0395,Pip sees no signs of the young man,perception/recognition,perceive,and could see no signs of him.,1.0,0.8,148,1,,river
event/5e107500,Pip feels frightened again,reflection/emotion,feel,"But now I was frightened again,",1.0,0.9,149,1,,river
event/53a47465,Pip runs home,movement/departure,run,and ran home without stopping.,1.0,0.9,150,1,,river
