:ID,relationType,weight,confidence,mechanism,sign,cause_sequence,effect_sequence
causal/6f18e359,causes,0.8,0.9,The initial fancies based on tombstones led to a misguided conclusion about the mother's appearance.,+,9,13
causal/e8f94517,causes,0.7,0.8,"The father's letter shape influenced the child's perception, leading to a mistaken conclusion about the mother.",+,10,13
causal/f05b6413,enables,0.7,0.8,The shape of the letters allows for the character and turn of the inscription to be perceived.,+,10,14
causal/e56a071f,causes,0.8,0.85,The inscription likely leads to the placement of the stone lozenges as a memorial.,+,14,15
causal/0ee9c01c,causes,0.8,0.75,"The character and tone of the inscription suggest a discouraging environment, leading to early resignation in the struggle for survival.",+,14,16
causal/84dd6e5e,causes,0.8,0.85,"The character and turn of the inscription suggest a belief about the nature of the subjects, leading to the conclusion about their birth circumstances.",+,14,17
causal/b347ceca,causes,0.7,0.8,The presence of the lozenges prompts a belief about the deceased's nature and circumstances.,+,15,17
causal/075dd158,causes,0.7,0.8,The struggle for a living leads to a belief in inherent laziness or entitlement.,+,16,17
causal/dcd1987a,causes,0.8,0.85,Giving up on the struggle for a living leads to a state of existence where one does not engage with life.,+,16,18
causal/6eb670ae,causes,0.8,0.9,The belief in their inherent laziness leads to the conclusion that they have never changed their state.,+,17,18
causal/b4f76672,enables,0.7,0.8,"The description of the marsh country sets the scene, allowing for the discovery of the churchyard.",+,19,21
causal/e940fafd,causes,0.8,0.9,The discovery of the churchyard leads to the realization of the deaths of Philip Pirrip and Georgiana.,+,21,22
causal/cd0f9f74,causes,0.7,0.8,The death of Philip Pirrip and Georgiana likely led to the death of their infant children due to the implications of parental mortality.,+,22,24
causal/df4fdf9d,causes,0.7,0.8,"The death of Georgiana likely led to the neglect or inability to care for the infant children, resulting in their deaths.",+,23,24
causal/b6259ed4,enables,0.8,0.9,The discovery of the churchyard allows for the identification of the surrounding marshes.,+,21,25
causal/0a31ba95,enables,0.7,0.8,The description of the wilderness sets a fearful atmosphere that allows Pip's emotional response to develop.,+,25,28
causal/ebdd7f47,causes,0.8,0.85,The fear of the wind from the sea causes Pip to feel afraid and cry.,+,27,28
causal/ba72f5d3,causes,0.8,0.9,"Pip's fear leads to his crying, indicating a direct emotional response.",+,28,29
causal/15affab3,causes,0.7,0.6,"Pip's crying may have startled the man, prompting his sudden movement from the graves.",+,29,30
causal/428a4846,causes,0.8,0.85,"Pip's crying prompts a harsh response from the voice, indicating a direct cause-effect relationship.",+,29,31
causal/beb60c31,aggravates,0.7,0.8,"Pip's crying escalates the tension, provoking a threatening response.",+,29,32
causal/9c7f7ff1,causes,0.8,0.85,"The sudden appearance of the man from the graves likely instills fear, prompting the aggressive threat.",+,30,32
causal/3ab7e5bf,causes,0.8,0.9,"The command to be quiet is a direct threat that instills fear, leading to silence.",+,31,32
causal/d3057da4,causes,0.8,0.85,"The threat of violence instills fear, leading to a fearful demeanor.",+,32,33
causal/6b5e95e3,aggravates,0.7,0.8,"The command to be quiet may increase the distress of the injured man, as it implies a harsh environment despite his suffering.",+,31,35
causal/18995dd8,aggravates,0.7,0.8,The threat of violence increases the man's suffering from his existing injuries and harsh conditions.,+,32,35
causal/454bdfba,aggravates,0.7,0.8,"The fearful man's condition is worsened by the harsh environment, leading to multiple injuries.",+,33,35
causal/c8eda700,aggravates,0.8,0.75,"The man's poor condition (no hat, broken shoes) likely worsens his exposure to harsh elements, leading to further injuries.",+,34,35
causal/1b6eaa8a,causes,0.8,0.9,"The fearful man's condition and demeanor lead to his limping, shivering, glaring, and growling.",+,33,36
causal/dd40446c,causes,0.8,0.85,"The man's poor clothing and physical condition lead to his limping, shivering, and aggressive demeanor.",+,34,36
causal/ec9b82cc,causes,0.8,0.9,"The man's physical suffering from various injuries and discomfort leads to his limping, shivering, glaring, and growling.",+,35,36
causal/113b36dd,causes,0.8,0.85,Fear can lead to physical reactions such as chattering teeth due to anxiety or stress.,+,33,37
causal/60ed9052,causes,0.8,0.75,"The man's poor clothing and condition likely contribute to his physical discomfort, leading to chattering teeth.",+,34,37
causal/ee3a3059,causes,0.8,0.9,The man's physical suffering from various injuries and exposure to elements likely leads to his teeth chattering due to shock or cold.,+,35,37
causal/3af78957,causes,0.8,0.85,"The description of the subject's physical state (limping, shivering) suggests a direct cause for the chattering teeth, indicating a response to cold or fear.",+,36,37
causal/94238ebf,aggravates,0.8,0.85,The man's suffering from various injuries and discomforts heightens his fear of further harm.,+,35,39
causal/f2a4ff6b,causes,0.8,0.9,"The character's aggressive demeanor instills fear in the other, leading to a plea for mercy.",+,36,39
causal/20d21552,prevents,0.7,0.8,"The act of seizing by the chin suggests an attempt to control or intimidate, prompting a plea for restraint.",-,38,40
causal/30b17459,causes,0.8,0.9,The plea for mercy directly results from the fear of being harmed.,+,39,40
causal/b8eef7a1,enables,0.7,0.8,"The command to 'give it mouth' suggests encouraging expression, which enables the man to ask for the location.",+,43,44
causal/7e474bdd,causes,0.8,0.9,The man's request prompts a response to identify the location.,+,44,45
causal/9799fff8,enables,0.8,0.9,The man's request for location information allows the speaker to indicate their village.,+,44,46
causal/ec5d0d5f,causes,0.9,0.95,The command to point directly leads to the action of pointing to the village.,+,45,46
causal/087bac0c,enables,0.7,0.8,Pointing out a location allows for navigation to that specific area.,+,45,47
causal/9c8a1e22,enables,0.7,0.8,"Pointing provides direction and context, enabling understanding of the village's location.",+,46,47
causal/68710eb7,enables,0.7,0.8,"Pointing to the village indicates its location, making it possible to understand its distance from the church.",+,46,48
causal/2b37fb9d,enables,0.7,0.8,"Pointing out the place provides direction, allowing the man to focus on the speaker.",+,45,49
causal/8d72e15e,enables,0.7,0.8,"Pointing provides direction, allowing the man to understand the location of the village.",+,46,49
causal/95ddfcd2,causes,0.8,0.9,The man's action of looking at the speaker leads to the physical act of turning them upside down.,+,49,50
causal/f0005457,causes,0.8,0.85,"The man's gaze likely prompted the action of emptying pockets, indicating a direct influence.",+,49,51
causal/9728b822,causes,0.9,0.85,Being turned upside down leads to the contents of pockets falling out.,+,50,51
causal/43f5068b,causes,0.8,0.9,"Emptying pockets directly results in having only the remaining contents, which is a piece of bread.",+,51,52
causal/a901c389,causes,0.8,0.9,The man's sudden and strong action directly resulted in the object flipping over.,+,49,53
causal/5d0727bf,causes,0.8,0.9,The sudden and strong action directly leads to the object being turned upside down.,+,50,53
causal/4110fccf,causes,0.7,0.6,"Emptying pockets may indicate a loss of control or vulnerability, leading to a sudden and strong reaction.",+,51,53
causal/9062c829,causes,0.8,0.9,"The sudden and strong action caused the object to flip, leading to the observer seeing the steeple from an unusual perspective.",+,53,54
causal/21278ff0,causes,0.8,0.7,"The sudden and strong action caused a disruption, leading to the church regaining its composure.",+,53,55
causal/16653336,causes,0.8,0.75,The speaker's perspective from above suggests a transformative realization or awakening of the church.,+,54,55
causal/d3d2341f,causes,0.7,0.8,"Seeing the steeple likely indicates a high vantage point, leading to being seated on a high tombstone.",+,54,56
causal/ef545eca,causes,0.7,0.8,"The church's self-awareness leads to a heightened emotional state, causing the individual to eat ravenously.",+,55,57
causal/d2b323e0,causes,0.7,0.8,"The act of eating ravenously suggests a strong desire for food, which may lead to the man's comment about the boy's appearance.",+,58,59
causal/9d7f0407,causes,0.7,0.8,"The act of eating ravenously suggests a strong desire for food, which may lead to the man's comment about the boy's appearance.",+,58,60
causal/5bfda7eb,causes,0.7,0.8,"The act of eating ravenously suggests a strong desire for food, which may lead to the man's comment about the boy's appearance.",+,58,61
causal/fb870b35,causes,0.8,0.7,"Ravenous eating likely leads to weight gain, contributing to being fat.",+,58,62
causal/c604db88,causes,0.7,0.8,Believing someone is fat may lead to the perception that they lack strength.,+,62,64
causal/21ad1cd9,causes,0.8,0.85,Being undersized likely contributed to a lack of physical strength.,+,63,64
causal/3453f5af,causes,0.8,0.9,"The man's comment about the dog's cheeks suggests a desire to eat them, indicating a direct cause of his threatening behavior.",+,61,65
causal/05d80c54,enables,0.7,0.8,"The man's expression of desire suggests that his ability to eat is contingent on his willingness, indicating a potential action.",+,65,66
causal/c50247ed,causes,0.7,0.8,"The phrase suggests a strong emotional or mental struggle, leading to a physical reaction of holding tighter to the tombstone.",+,66,68
causal/f075e238,aggravates,0.7,0.8,"The expression of hope may have intensified his emotional grip, leading to a stronger attachment to the tombstone.",+,67,68
causal/95d7369a,enables,0.7,0.8,The speaker's indecision allows them to maintain focus on their intention.,+,66,69
causal/98fd97f8,enables,0.7,0.8,Expressing hope can create a mental focus that helps maintain self-control.,+,67,69
causal/6ee098cc,causes,0.8,0.85,"Holding tighter to the tombstone provides stability, enabling the speaker to remain on it.",+,68,69
causal/cb41ff59,prevents,0.7,0.8,Expressing hope may help manage emotions and prevent crying.,+,67,70
causal/bac5c48e,causes,0.8,0.85,Holding tighter to the tombstone indicates an emotional response aimed at controlling feelings of sadness.,+,68,70
causal/53efdd66,prevents,0.7,0.8,"The act of keeping oneself focused helps to avoid emotional distress, such as crying.",-,69,70
causal/8d3913a0,causes,0.7,0.8,The act of keeping oneself focused leads to the initiation of action.,+,69,73
causal/f02b77b2,enables,0.7,0.8,"The act of keeping oneself from crying may create a state that allows him to start, possibly indicating emotional control.",+,70,73
causal/ef5aea67,causes,0.8,0.85,"The man's statement prompts him to take action, indicating a direct cause-effect relationship.",+,71,73
causal/365021ab,causes,0.8,0.85,"The question prompts a response, leading to the action of starting.",+,72,73
causal/9701f254,enables,0.7,0.8,Keeping emotions in check can provide the focus needed to engage in physical activity.,+,70,74
causal/a370150e,causes,0.8,0.9,Starting initiates the action of making a short run.,+,73,74
causal/0e45adbe,causes,0.8,0.9,The action of making a short run directly leads to the stopping action.,+,74,75
causal/4248136b,causes,0.7,0.8,"Starting an action often leads to subsequent actions, such as looking over one's shoulder.",+,73,76
causal/1791ef78,enables,0.7,0.8,"The action of making a short run allows the individual to look over their shoulder, suggesting a heightened awareness or need to check for something.",+,74,76
causal/646857e0,enables,0.7,0.8,"The man's dark glances suggest curiosity or contemplation, which may have prompted him to approach the tombstone.",+,91,93
causal/34aab3ed,enables,0.7,0.8,"The man's dark glances suggest curiosity or contemplation, which may have prompted him to approach the tombstone.",+,92,93
causal/03980995,causes,0.7,0.8,"The intense gaze suggests a build-up of tension, prompting the action of taking by the arms.",+,91,94
causal/6e196043,causes,0.7,0.8,"The person's dark gaze suggests discomfort or concern, prompting them to physically engage by taking the speaker's arms.",+,92,94
causal/9b49a81e,causes,0.8,0.85,"Coming closer creates a physical connection, leading to the action of taking by the arms.",+,93,94
causal/0e12946d,causes,0.7,0.8,"The person's intense gaze suggests a threatening demeanor, prompting a defensive reaction.",+,91,95
causal/35efcc42,causes,0.7,0.8,"The person's intense gaze suggests a build-up of tension, leading to the action of tilting back.",+,92,95
causal/31fc853d,causes,0.8,0.85,"His approach caused a physical reaction, tilting me back.",+,93,95
causal/87cd06a7,causes,0.8,0.9,The action of taking someone by the arms directly leads to the tilting motion.,+,94,95
causal/17a56ebe,causes,0.7,0.8,"The intense gaze at his leg suggests a deep emotional or physical discomfort, leading to a powerful connection in eye contact.",+,92,96
causal/039d8925,causes,0.8,0.85,"The act of coming closer creates a direct visual connection, intensifying the gaze.",+,93,96
causal/5097d54c,causes,0.8,0.85,The act of taking someone by the arms creates a physical connection that intensifies eye contact and emotional engagement.,+,94,96
causal/a505572e,causes,0.8,0.85,"The act of tilting creates a physical and emotional connection, intensifying eye contact.",+,95,96
causal/f9017d74,enables,0.7,0.8,"The act of coming closer allows for a more intimate interaction, leading to a helpless gaze.",+,93,97
causal/98407bc8,enables,0.7,0.8,The act of taking by the arms suggests a physical control that allows for a conversation about the person's fate.,+,94,98
causal/ca3f147e,enables,0.7,0.8,"Tilting back creates a vulnerable position, allowing the speaker to assert control over the situation.",+,95,98
causal/62f2e197,causes,0.8,0.85,"The intensity of his gaze implies a threatening dominance, leading to a life-or-death question.",+,96,98
causal/9611c682,causes,0.8,0.9,The intensity of his gaze creates a feeling of vulnerability and fear in the observer.,+,96,100
causal/07c61323,causes,0.7,0.8,The act of looking up helplessly contributes to a growing sense of helplessness and danger as the questioning continues.,+,97,100
causal/66577f16,causes,0.8,0.85,The threat of being let to live creates a sense of helplessness and danger.,+,98,100
causal/4c9ae7e8,causes,0.7,0.8,The act of looking up helplessly contributes to a growing sense of helplessness and danger through the interaction described.,+,97,101
causal/2a1f923c,enables,0.7,0.8,The question about the file creates a context that heightens the sense of helplessness and danger.,+,99,102
causal/1bdd68ad,enables,0.8,0.9,Understanding what a file is allows the person to request one.,+,99,103
causal/9bb1615c,enables,0.7,0.8,"The act of tilting creates a sense of helplessness, which may motivate the request for a file.",+,100,103
causal/8eb80744,enables,0.7,0.8,"The act of tilting creates a sense of helplessness, which may lead to a willingness to comply with demands.",+,100,104
causal/ec311ec8,enables,0.7,0.8,"The act of tilting creates a sense of helplessness, which may lead to a willingness to comply with demands.",+,101,104
causal/935ad637,enables,0.7,0.8,"The act of tilting creates a sense of helplessness, which may lead to a submissive response, enabling the request for food.",+,102,104
causal/5ec07a14,enables,0.7,0.8,Obtaining the file allows for the provision of food.,+,103,104
causal/9e0cc7fa,enables,0.7,0.8,"The act of tilting creates a sense of helplessness, which may lead to a willingness to comply or submit.",+,102,105
causal/b44aee2a,enables,0.7,0.8,Getting the file allows the action of bringing both items to the speaker.,+,103,105
causal/469b4343,causes,0.8,0.85,Getting wittles implies that the other person will bring them to the speaker.,+,104,105
causal/f71232b5,causes,0.8,0.85,"The act of tilting creates a sense of helplessness, which may provoke a threatening response.",+,102,106
causal/ad73c524,enables,0.7,0.8,"The request for a file creates a situation where a threat is made, enabling the potential for violence.",+,103,106
causal/ab7e07af,causes,0.8,0.9,"The demand to bring both individuals leads to a threat of violence, indicating a direct cause-and-effect relationship.",+,105,106
causal/71b9311f,causes,0.7,0.6,"The threat of violence induces fear, leading to a giddy reaction as a coping mechanism.",+,106,109
causal/be45bba8,causes,0.8,0.85,Fear can lead to physical reactions like dizziness.,+,108,109
causal/e4f8a801,causes,0.8,0.9,"Tilting creates a sense of instability, prompting a clinging response for support.",+,107,110
causal/968b609b,causes,0.8,0.9,Fear led to a physical response of clinging for security.,+,108,110
causal/3d5218d9,causes,0.7,0.8,"Feeling giddy can lead to a sense of excitement or instability, prompting a need for physical support.",+,109,110
causal/6e0e4cb4,causes,0.8,0.9,"Tilting leads to a loss of balance, prompting a request to remain upright.",+,107,111
causal/5e714a27,causes,0.7,0.8,"Feeling giddy can lead to difficulty maintaining balance, prompting a request for assistance.",+,109,111
causal/74e7b84a,enables,0.8,0.85,"Clinging provides physical support, allowing the speaker to maintain balance.",+,110,111
causal/d34a995a,prevents,0.7,0.8,"The request to remain upright suggests a desire to avoid sickness, implying that maintaining posture may help prevent feeling unwell.",+,111,112
causal/1695d028,enables,0.7,0.6,Feeling giddy may increase motivation or willingness to attend more events.,+,109,113
causal/0c1a74c1,enables,0.7,0.6,"Clinging suggests a desire for support, which may facilitate the ability to attend more.",+,110,113
causal/8f39f217,causes,0.8,0.9,The request to remain upright implies that doing so would allow for better attendance.,+,111,113
causal/3bdd82b0,prevents,0.8,0.9,Being sick hinders attendance at events or activities.,-,112,113
causal/82908015,causes,0.8,0.9,The dip and roll likely caused him to hold her by the arms for support.,+,114,116
causal/8e21f03e,causes,0.8,0.9,The action of giving a dip and roll results in the person ending up upright on the stone.,+,114,117
causal/b721c05f,causes,0.9,0.85,Holding someone by the arms directly supports their upright position.,+,116,117
causal/d9906ea3,causes,0.8,0.85,"The action of giving a dip and roll leads to a heightened emotional response, resulting in fearful terms.",+,114,118
causal/060a7076,causes,0.8,0.75,"The church's action of jumping over its weathercock indicates a significant change, leading to a fearful expression.",+,115,118
causal/b8bdc200,causes,0.7,0.8,"Holding someone by the arms can create a tense situation, leading to fearful communication.",+,116,118
causal/69758d7a,enables,0.7,0.8,Holding by the arms suggests a physical control that facilitates the request for items.,+,116,119
causal/e58f3075,causes,0.8,0.85,"The fearful terms create an atmosphere of intimidation, leading to silence about the encounter.",+,118,120
causal/61bf5a03,causes,0.8,0.85,"The request for the file and food implies a threat, leading to compliance and silence.",+,119,120
causal/a295c252,prevents,0.8,0.9,"Remaining upright on the stone is a condition for survival, implying that failing to do so leads to dire consequences.",+,117,121
causal/607d08d7,causes,0.8,0.9,"The fearful terms create a threat that compels compliance, suggesting that failure to adhere will result in severe consequences.",+,118,121
causal/b661090f,causes,0.8,0.9,"The demand for the file and food creates a condition for survival, linking compliance to life preservation.",+,119,121
causal/822324d4,prevents,0.8,0.9,"The act of silence and compliance prevents dire consequences, as failure to adhere leads to severe punishment.",+,120,121
causal/a3c1e6fa,enables,0.7,0.8,The request for the file and food enables the speaker to feel less alone by anticipating assistance.,+,119,122
causal/f160a14d,enables,0.7,0.8,The act of not speaking about the encounter allows the speaker to feel less isolated.,+,120,122
causal/def9df19,prevents,0.7,0.8,The threat of violence serves to deter the individual from acting against the speaker's wishes.,+,121,122
causal/f8026a20,prevents,0.8,0.7,"The threat of violence serves to deter the young man from disobeying or leaving, implying that compliance is necessary for survival.",+,121,123
causal/b9738a60,enables,0.7,0.8,The speaker's acknowledgment of companionship allows for a comparison that elevates their self-perception.,+,122,123
causal/86183a3c,causes,0.8,0.9,The speaker's threat implies that the young man must listen to avoid dire consequences.,+,121,124
causal/1221f766,enables,0.7,0.8,The speaker's assertion of not being alone suggests a connection that allows the young man to hear and engage with the speaker's words.,+,122,124
causal/69995880,enables,0.8,0.9,"The speaker's words are audible to the young man, allowing him to hear them.",+,123,124
causal/3319bdc7,enables,0.7,0.8,"The speaker's realization of not being alone allows for deeper emotional connections, enabling the young man to reach the boy's heart.",+,122,125
causal/e87648a9,enables,0.7,0.8,Hearing the words allows the young man to connect with the boy emotionally and physically.,+,124,125
causal/634ad6d9,prevents,0.7,0.8,The young man's unique approach may lead the boy to feel the need to protect himself by locking his door.,-,125,127
causal/94174768,prevents,0.6,0.7,"Locking the door may prevent the young man from entering, but it does not guarantee the boy's concealment.",+,126,127
causal/4d313d92,enables,0.7,0.8,"The young man's unique approach allows him to connect emotionally, which can lead to feelings of warmth and comfort.",+,125,128
causal/1ebab565,enables,0.7,0.6,"Locking the door allows the boy to feel secure and comfortable, enabling him to stay warm in bed.",+,127,128
causal/0e1f5164,enables,0.7,0.8,"Locking the door provides privacy, allowing the boy to tuck himself up comfortably.",+,127,129
causal/be655166,causes,0.8,0.85,Feeling warm in bed encourages a person to tuck themselves up for added comfort.,+,128,129
causal/3e454d62,enables,0.7,0.8,The boy's attempt to hide allows the young man to draw the clothes over his head.,+,126,130
causal/7549d346,causes,0.8,0.85,Warmth in bed can lead to a desire to cover oneself with clothes for additional comfort.,+,128,130
causal/a37e581b,enables,0.7,0.8,Tucking oneself up allows for the action of drawing clothes over the head.,+,129,130
causal/2c238389,enables,0.7,0.8,"Locking the door creates a sense of security, allowing the boy to feel comfortable.",+,127,131
causal/8382b81e,enables,0.8,0.85,"A warm bed creates a sense of comfort, leading to feelings of safety.",+,128,131
causal/7f680ff3,enables,0.7,0.8,Tucking oneself up creates a sense of comfort and safety.,+,129,131
causal/3dfc5883,enables,0.7,0.8,Drawing clothes over his head creates a sense of comfort and safety.,+,130,131
causal/a4b04b05,enables,0.7,0.8,A warm bed creates a comfortable environment that encourages the young man to approach quietly.,+,128,132
causal/ecb0d105,enables,0.7,0.8,Drawing the clothes over his head allows the young man to move stealthily.,+,130,132
causal/ed0232d8,enables,0.7,0.8,Feeling comfortable and safe allows the young man to approach without fear.,+,131,132
causal/5344c5ee,causes,0.7,0.6,Tucking oneself up may lead to a situation where one is vulnerable to being torn open.,+,129,133
causal/627278da,causes,0.8,0.9,The young man's creeping behavior leads directly to the act of tearing him open.,+,132,133
causal/3b79d522,prevents,0.7,0.8,"Drawing the clothes over his head may distract or restrain him, preventing harm.",+,130,134
causal/b3ff9d53,prevents,0.7,0.8,"The feeling of comfort and safety may lead to a false sense of security, which allows for intervention to prevent harm.",+,131,134
causal/044fa4f1,prevents,0.8,0.9,The act of keeping the young man away prevents him from causing harm.,+,132,134
causal/c92a92ae,prevents,0.8,0.85,"The act of tearing him open is being prevented, which protects the young man from causing harm.",+,133,134
causal/1e78d9b3,aggravates,0.7,0.8,The young man's creeping behavior increases the difficulty of resisting him.,+,132,135
causal/8d3f4367,causes,0.8,0.85,"The act of tearing open leads to difficulty in restraining the young man, indicating a direct consequence.",+,133,135
causal/372dc151,prevents,0.8,0.9,The speaker is actively restraining the young man to prevent him from causing harm.,+,134,135
causal/d8c8e423,prevents,0.8,0.9,"The speaker is actively stopping the young man from causing harm, indicating a protective action.",+,134,136
causal/b65cdd0e,enables,0.8,0.9,"The question prompts a response, allowing the speaker to express their intention.",+,136,137
causal/a8ab41e6,enables,0.7,0.8,The question prompts a response that leads to providing food.,+,136,138
causal/01622f95,enables,0.7,0.8,"The promise to provide the file allows for the additional offer of food, indicating a supportive action.",+,137,138
causal/133b3cfd,enables,0.7,0.8,"The difficulty in holding the young man off suggests a strong attraction, enabling the speaker's intention to meet him.",+,135,139
causal/bca78082,enables,0.8,0.9,The promise to deliver the file facilitates the plan to meet early in the morning.,+,137,139
causal/e34ecb48,enables,0.7,0.8,Providing food allows for the possibility of visiting him at the Battery.,+,138,139
causal/08f21e38,enables,0.7,0.8,The promise to deliver the file facilitates the young man's actions and expectations.,+,137,141
causal/384cf7af,enables,0.7,0.8,Providing food supports the young man's ability to fulfill his commitment and return home.,+,138,142
causal/29249d4c,enables,0.7,0.8,The man's threat encourages the listener to remember their commitment and act accordingly.,+,140,142
causal/6dd32ad0,enables,0.7,0.8,The man's threat encourages the listener to remember their commitment and act accordingly.,+,140,143
causal/a217aab0,causes,0.8,0.85,"The cold and wet environment likely induces discomfort, prompting the individual to hug their body for warmth.",+,147,148
causal/1708a6b6,causes,0.8,0.85,"The act of hugging himself suggests a response to emotional distress, indicating that the first event leads to the second.",+,148,149
causal/d94c8787,causes,0.7,0.8,"The act of hugging suggests a need for comfort, which may lead to the character limping towards the wall for support.",+,148,150
causal/71544ea4,causes,0.7,0.8,"The act of clasping himself suggests a struggle to maintain composure, leading to a physical manifestation of distress as he limps.",+,149,150
causal/69b006be,enables,0.7,0.8,"Limping towards the wall suggests a careful movement, allowing for navigation among the nettles.",+,150,152
causal/fbed3a96,enables,0.7,0.8,"Navigating through nettles allows access to brambles, facilitating movement in the area.",+,152,153
causal/90f1f1eb,causes,0.7,0.8,"Navigating through nettles suggests a struggle or danger, leading to a fearful or evasive reaction in the observer.",+,152,154
causal/c94ae37f,causes,0.7,0.8,"The gaze implies a connection to the dead, suggesting that the act of looking invokes their presence.",+,154,155
causal/163a4f2b,causes,0.8,0.85,Navigating through nettles can lead to tripping or twisting an ankle due to uneven ground or distraction.,+,152,156
causal/d7399bcb,causes,0.7,0.8,"The brambles can obstruct movement, leading to tripping and twisting an ankle.",+,153,156
causal/0f02bc8b,enables,0.7,0.8,The brambles create a barrier that facilitates the act of pulling someone in.,+,153,157
causal/34c725f0,causes,0.8,0.85,"The act of stretching out of graves suggests an intention to pull someone in, indicating a direct cause-effect relationship.",+,155,157
causal/d3d48006,causes,0.8,0.85,Pulling him in directly leads to his arrival at the church wall.,+,157,158
causal/4d28979e,enables,0.7,0.8,"Pulling him in provides support, allowing him to overcome his struggles.",+,157,159
causal/31df9bbd,causes,0.9,0.95,The action of coming to the wall directly leads to the ability to get over it.,+,158,159
causal/082ed0c8,causes,0.8,0.85,Pulling him in leads to him turning around to search for the speaker.,+,157,160
causal/d908bcbf,enables,0.8,0.9,The act of coming to the wall allows him to turn around and look for the speaker.,+,158,160
causal/12d75c79,causes,0.8,0.85,Overcoming his feelings allowed him to focus on finding the speaker.,+,159,160
causal/6e1e7986,enables,0.7,0.8,The presence of 'he' at the wall allows 'I' to see him turning.,+,158,161
causal/328beb29,causes,0.8,0.85,Seeing him turn prompted a decision to return home.,+,161,162
causal/6a50c063,enables,0.7,0.8,"Seeing him turn prompted a quick response, allowing for effective movement.",+,161,163
causal/36d3b494,enables,0.8,0.9,"Setting a direction towards home allows for purposeful movement, facilitating the use of legs effectively.",+,162,163
causal/bec9b3f3,causes,0.8,0.7,Turning around to look for someone prompts the action of looking over one's shoulder.,+,160,164
causal/b90a5c11,enables,0.7,0.8,Seeing him turn prompts the action of looking over the shoulder.,+,161,164
causal/5220a84f,causes,0.8,0.85,Seeing him turn prompts the observer to notice his subsequent movement towards the river.,+,161,165
causal/a39d336f,enables,0.7,0.8,Making the best use of legs allows for movement towards the river.,+,163,165
causal/d348a930,enables,0.8,0.9,The placement of stones creates stable stepping-places during adverse weather conditions.,+,168,169
causal/634deeb5,enables,0.7,0.8,"The stepping-places provide access during adverse conditions, allowing for care.",+,169,171
causal/51fddb4d,causes,0.8,0.9,Stopping to look indicates a decision that leads to the action of looking after him.,+,170,171
causal/5f301b17,enables,0.7,0.8,"The description of the marshes sets the scene, allowing the observer to notice the two upright black objects.",+,172,175
causal/379a112a,enables,0.7,0.8,"The marshes serve as a reference point for sailors, allowing them to navigate effectively.",+,172,176
causal/09ec8831,enables,0.7,0.8,"The river's horizontal line serves as a reference point for sailors, enabling navigation.",+,173,176
