:ID,factor
why_pip_reads_or_knows_the_inscrip/92e4a68e,Pip reads or knows the inscription about the infant children being dead and buried
why_pip’s_contemplation_of_family_/9985b7c8,Pip’s contemplation of family graves
why_pip_visually_observes_the_wild/880df8ff,Pip visually observes the wilderness beyond the churchyard
why_prior_knowledge_of_local_geogr/0b7d7093,Prior knowledge of local geography (marshes)
why_pip_visually_inspects_structur/0c2386f6,Pip visually inspects structure of the marshes
why_pip_looks_out_over_the_marshes/59a0c5be,Pip looks out over the marshes
why_pip_visually_perceives_the_low/139b90ac,Pip visually perceives the low leaden line
why_pip’s_local_knowledge_that_suc/3cf1c9c4,Pip’s local knowledge that such a line is the river
why_pip_sees_the_distant_savage_la/9ef46ad5,Pip sees the distant savage lair from which the wind was rushing
why_pip’s_understanding_that_beyon/ef92f970,Pip’s understanding that beyond the river lies the sea
why_pip’s_self-awareness_of_his_ph/f39ea1bf,Pip’s self-awareness of his physical and emotional state
why_fearful_environment_causing_hi/148ad180,Fearful environment causing him to shiver and cry
why_bleak_churchyard_and_desolate_/21615ead,"Bleak churchyard and desolate marshes, river, and sea"
why_pip’s_youth_and_vulnerability_/9e34f760,Pip’s youth and vulnerability in the setting
why_pip’s_growing_fear_of_his_surr/a37c91e7,Pip’s growing fear of his surroundings
why_loneliness_and_awareness_of_de/e9b4e792,Loneliness and awareness of dead family
why_pip_is_crying_and_making_noise/06cb2a5b,Pip is crying and making noise
why_convict’s_need_to_avoid_detect/ed4dbd12,Convict’s need to avoid detection
why_hearing_pip’s_noise_and_needin/fb21452d,Hearing Pip’s noise and needing to confront him
why_man_is_hiding_among_graves_and/f3027fcb,Man is hiding among graves and is disturbed
why_convict_wants_to_intimidate_pi/340f5475,Convict wants to intimidate Pip into silence and obedience
"why_convict’s_desperate,_fearful_s/2a88beaf","Convict’s desperate, fearful state as an escaped prisoner"
"why_man_is_suddenly_close_to_pip,_/01dcb6b7","Man is suddenly close to Pip, allowing observation"
why_pip’s_heightened_awareness_due/392d539b,Pip’s heightened awareness due to fear
why_convict’s_disheveled_appearanc/7397b890,Convict’s disheveled appearance
why_pip’s_detailed_visual_attentio/c4ae3a8f,Pip’s detailed visual attention under stress
"why_visual_signs_of_water,_mud,_in/a35a1dfc","Visual signs of water, mud, injuries, and plant damage on the man"
why_pip’s_knowledge_of_the_local_m/e7077a27,Pip’s knowledge of the local marshy terrain
why_man’s_physical_injury_and_fati/4a0e15b4,Man’s physical injury and fatigue
why_pip’s_observation_of_man’s_mov/3dff304f,Pip’s observation of man’s movement
"why_man’s_exposure_to_cold,_wet_en/c3f02112","Man’s exposure to cold, wet environment"
why_pip_watches_the_man’s_bodily_r/cb26b9c0,Pip watches the man’s bodily reactions
"why_man’s_hostile,_threatening_att/0264a9b0","Man’s hostile, threatening attitude toward Pip"
why_close_physical_proximity_allow/d5606434,Close physical proximity allowing eye contact
why_man’s_animal-like_vocal_hostil/453de7d6,Man’s animal-like vocal hostility
why_man’s_desperation_and_anger/884be0ff,Man’s desperation and anger
"why_man’s_cold,_wet_condition_caus/4e9c97eb","Man’s cold, wet condition causing teeth to chatter"
why_pip’s_close_visual_and_auditor/36d3b7ce,Pip’s close visual and auditory focus
why_man’s_desire_to_control_and_in/755279ce,Man’s desire to control and intimidate Pip
why_pip’s_small_size_and_vulnerabi/4efaccce,Pip’s small size and vulnerability
why_convict’s_explicit_threat_to_c/30199b45,Convict’s explicit threat to cut his throat
why_pip’s_terror_and_instinct_for_/5e1b7180,Pip’s terror and instinct for self-preservation
why_physical_seizure_by_the_man_an/a9f5908c,Physical seizure by the man and death threat
why_already_fearful_state_in_desol/ac2e8fcd,Already fearful state in desolate environment
why_man_wants_pip_to_repeat_or_cla/5d7362c2,Man wants Pip to repeat or clarify something
"why_man’s_interrogatory,_domineeri/34c04e2a","Man’s interrogatory, domineering attitude"
why_man_scrutinizes_pip_as_he_ques/c01fc90b,Man scrutinizes Pip as he questions him
why_man’s_suspicious_and_threateni/a308f5d4,Man’s suspicious and threatening demeanor
why_man_demands_pip_speak_out_clea/48fe8736,Man demands Pip speak out clearly
why_man’s_need_for_information_and/bee92b4f,Man’s need for information and control
why_man_wants_to_know_the_child’s_/704776a0,Man wants to know the child’s dwelling place
why_man_exerts_power/control_over_/66cf5a34,Man exerts power/control over the child
why_obedience_to_the_man’s_command/d33129bc,Obedience to the man’s command
why_fear_of_the_man’s_authority_or/990fef5c,Fear of the man’s authority or threat
why_man_assesses_the_child_after_b/edaf089c,Man assesses the child after being shown the village
why_man_wants_access_to_child’s_po/3a0f8bdc,Man wants access to child’s pockets
why_man_uses_physical_dominance_an/bb1b9a29,Man uses physical dominance and intimidation
why_man_searches_for_valuables_or_/db367369,Man searches for valuables or food
why_observation_of_the_result_of_t/6ded63df,Observation of the result of the search
why_being_suddenly_inverted_causes/9ad98e07,Being suddenly inverted causes visual confusion
why_narrator’s_senses_reorient_aft/b4f2cd55,Narrator’s senses reorient after being upside down
why_man_likely_places_the_child_th/c268448e,Man likely places the child there after turning him
why_fear_of_the_man’s_violence_and/23c324ef,Fear of the man’s violence and power
why_shock_from_recent_rough_handli/2393e200,Shock from recent rough handling
why_man_is_very_hungry/c2f2b6c6,Man is very hungry
why_bread_was_obtained_from_the_ch/d475017b,Bread was obtained from the child’s pockets
why_man’s_coarse_manner_and_contem/8d896689,Man’s coarse manner and contempt for the child
why_savoring_the_food_and_showing_/8b87f66d,Savoring the food and showing continued hunger
"why_noting_physical_appearance,_po/a91bac5b","Noting physical appearance, possibly with envy or threat"
why_responding_inwardly_to_the_man/f160cecc,Responding inwardly to the man’s comment
why_providing_background_about_his/bdc9dbf7,Providing background about his physical condition
why_emphasizing_vulnerability_rela/8a30ba86,Emphasizing vulnerability relative to the man’s strength
why_man_is_speaking_to_the_boy_in_/161637bb,Man is speaking to the boy in an intimidating manner
why_power_imbalance_between_adult_/dce2b11b,Power imbalance between adult man and child
why_man_has_just_threatened_to_eat/6d738c86,Man has just threatened to eat the boy
why_boy_feels_endangered_by_the_ma/d9203d35,Boy feels endangered by the man's threat
why_boy_wants_to_dissuade_the_man_/7da56831,Boy wants to dissuade the man from harming him
why_boy_is_frightened_and_seeking_/5c800fd0,Boy is frightened and seeking mercy
why_boy_fears_the_man_might_act_on/d38eef17,Boy fears the man might act on his threat
why_boy_wants_physical_security_an/1a72a432,Boy wants physical security and stability
why_boy_is_afraid_of_falling_or_be/14ec8075,Boy is afraid of falling or being taken off the tombstone
why_tombstone_feels_like_a_slight_/a5b21690,Tombstone feels like a slight refuge or fixed point
why_boy_is_frightened_by_the_man’s/78368c79,Boy is frightened by the man’s threat
why_boy_may_feel_shame_or_fear_abo/020a7ee6,Boy may feel shame or fear about showing vulnerability
why_man_wants_information_about_th/49158433,Man wants information about the boy’s family
why_man_is_exerting_authority_and_/5fb98df6,Man is exerting authority and control over the boy
"why_man_reacts,_possibly_to_someth/a0d9487f","Man reacts, possibly to something he sees or hears or to his own question"
why_man’s_sudden_reaction_after_as/befa6ab4,Man’s sudden reaction after asking about the mother
why_short_run_naturally_concludes/a0127167,Short run naturally concludes
why_man_is_checking_something_behi/40da4005,"Man is checking something behind him, possibly the graves"
why_man_has_demanded_to_know_where/a99fe694,Man has demanded to know where the boy’s mother is
why_boy_wants_to_appease_the_man_b/e9c7d988,Boy wants to appease the man by answering
why_man_asked_for_the_boy’s_mother/fa8ad84c,Man asked for the boy’s mother
why_boy_is_referring_to_the_name_o/b1878553,Boy is referring to the name on the grave
why_boy_is_intimidated_by_the_man’/2bf11f08,Boy is intimidated by the man’s threats and questions
why_he_has_just_come_back_to_the_n/7b0b45ac,He has just come back to the narrator
why_ongoing_interaction_with_the_c/6f9f16d4,Ongoing interaction with the child in the churchyard (implied from context of novel)
why_he_wishes_to_continue_question/26490b99,He wishes to continue questioning the narrator
why_he_needs_information_and_possi/711ff72f,He needs information and possibly help from the narrator
why_he_wants_to_know_about_the_nar/33ea4b8c,He wants to know about the narrator’s family
why_he_is_assessing_the_child’s_si/c721a270,He is assessing the child’s situation and possible protectors
why_he_has_been_directly_asked_abo/5b93aa23,He has been directly asked about his parents
why_child’s_inclination_to_answer_/09f60aa3,Child’s inclination to answer authority figures truthfully
why_he_has_just_learned_that_the_b/2c372cd3,He has just learned that the boy’s parents are dead
why_he_is_planning_what_to_do_with/d010a69f,He is planning what to do with or about the boy
why_he_needs_to_know_who_is_respon/f80bdba1,He needs to know who is responsible for the boy
why_he_is_using_a_threat_to_intimi/180b3e4f,He is using a threat to intimidate the boy into cooperating
why_he_wants_to_frighten_the_boy_i/588be76a,He wants to frighten the boy into obedience
why_he_is_a_desperate_convict_conc/1513869e,He is a desperate convict concerned with his own survival
why_he_has_been_asked_who_he_lives/606f4084,He has been asked who he lives with
why_he_may_hope_that_naming_adults/f01a079a,He may hope that naming adults provides some protection
why_he_wants_to_fully_answer_by_gi/c2ebae40,He wants to fully answer by giving Joe’s occupation
why_occupation_may_imply_strength_/3c76bfae,"Occupation may imply strength or status, possibly deterring harm"
why_he_is_processing_the_new_infor/2c0d001f,He is processing the new information about Joe’s trade
why_a_blacksmith’s_abilities_may_m/d8876821,"A blacksmith’s abilities may matter to his plans (chains, leg-iron)"
why_he_has_remembered_his_leg-iron/1a994ca7,He has remembered his leg-iron and its possible removal by a blacksmith
why_he_is_considering_using_joe’s_/9c4348c5,He is considering using Joe’s skills to free himself
why_man_is_assessing_his_own_injur/5348aa46,Man is assessing his own injured leg
why_man_is_assessing_the_boy_as_a_/ddf97acc,Man is assessing the boy as a potential helper or threat
why_man_wants_to_intimidate_and_co/8849d9c8,Man wants to intimidate and control the boy
why_man_wants_physical_control_of_/d5d91071,Man wants physical control of the boy
why_man_intends_to_intimidate_and_/34db298a,Man intends to intimidate and physically dominate
why_man_emphasizes_his_threat_thro/12eee92a,Man emphasizes his threat through eye contact
why_pip_is_physically_overpowered_/6c5706af,Pip is physically overpowered and forced to look up
why_man_wants_to_frighten_pip_into/496628b9,Man wants to frighten Pip into obedience
why_man_needs_a_file_and_is_checki/c771b4f4,Man needs a file and is checking Pip’s understanding
why_man_wants_to_increase_pip’s_se/6403746d,Man wants to increase Pip’s sense of helplessness and danger
why_man_needs_a_file_to_aid_his_ow/70fbe6d4,"Man needs a file to aid his own situation (e.g., escape)"
why_man_uses_direct_command_to_com/f7931793,Man uses direct command to compel obedience
why_man_reinforces_his_command_wit/fc1f28e3,Man reinforces his command with physical intimidation
why_man_is_hungry_and_needs_food/6e39b812,Man is hungry and needs food
why_man_uses_threats_to_secure_pro/1425d23b,Man uses threats to secure provisions
why_man_continues_to_heighten_pip’/9aaef585,Man continues to heighten Pip’s fear to ensure compliance
why_man_clarifies_that_both_items_/22cde61a,Man clarifies that both items must be delivered
why_man_maintains_intimidation_whi/9141e71b,Man maintains intimidation while specifying instructions
why_man_wants_to_ensure_obedience_/08ddf106,Man wants to ensure obedience through extreme fear
why_man_physically_reinforces_his_/04faa861,Man physically reinforces his deadly threat
why_man’s_threats_of_death_and_dis/083bca38,Man’s threats of death and disembowelment
why_pip’s_physical_helplessness/bf8dedb1,Pip’s physical helplessness
why_repeated_tilting_creating_a_se/a6df4a45,Repeated tilting creating a sense of vertigo
why_pip_seeks_physical_stability_t/3d0752c5,Pip seeks physical stability to avoid falling
why_fear_drives_pip_to_cling_to_hi/7165777f,Fear drives Pip to cling to his intimidator
why_pip_feels_he_may_become_sick_i/6ebe913b,Pip feels he may become sick if kept tilted
why_pip_hopes_better_posture_will_/7eed1a57,Pip hopes better posture will let him attend more to the man’s demands
why_pip_wants_to_justify_his_reque/9c530d57,Pip wants to justify his request to make it acceptable to the man
why_man_wants_to_intimidate_and_ph/be45a1c0,Man wants to intimidate and physically control the boy
why_man_needs_the_boy_immobilized_/b7d0dc2d,Man needs the boy immobilized while he threatens him
why_man_wants_to_coerce_the_boy_in/0446ab63,Man wants to coerce the boy into helping him
why_man_needs_a_file_and_food_to_a/04f4ba61,Man needs a file and food to assist his situation (likely escape and survival)
"why_man_needs_a_secret,_specific_p/3d8167af","Man needs a secret, specific place to receive the items"
why_man_wants_to_avoid_discovery_b/9c9a2423,Man wants to avoid discovery by others
why_man_uses_fear_to_enforce_obedi/f32c8270,Man uses fear to enforce obedience
why_man_wants_to_increase_intimida/834e713d,Man wants to increase intimidation by implying an accomplice
why_man_invents_or_emphasizes_an_a/78a3374c,Man invents or emphasizes an accomplice to deepen the threat
why_man_wants_the_boy_to_believe_t/b2d3eb05,Man wants the boy to believe the unseen young man is more dangerous
why_to_imply_surveillance_and_make/b04910f8,To imply surveillance and make disobedience seem impossible
why_to_terrify_the_boy_with_grueso/936a52f4,To terrify the boy with gruesome imagery
why_to_remove_any_sense_of_safety_/48497a65,To remove any sense of safety or escape for the boy
why_to_show_even_ordinary_safeguar/016ca2b2,To show even ordinary safeguards won’t protect the boy
why_to_enforce_compliance_with_a_v/2a3fad1a,To enforce compliance with a vivid physical threat
why_to_portray_himself_as_the_boy’/7b8c509f,"To portray himself as the boy’s only protection, increasing leverage"
why_to_heighten_urgency_and_fear_f/653aea7b,To heighten urgency and fear for the boy
why_man_needs_explicit_verbal_agre/806795a4,Man needs explicit verbal agreement to his demands
why_narrator_is_intimidated_and_se/92668402,Narrator is intimidated and seeks to avoid threatened harm
why_narrator_continues_to_comply_u/4080923e,Narrator continues to comply under duress
why_narrator_fears_for_his_life_if/e048eb50,Narrator fears for his life if he does not appear
why_man_wants_a_stronger_guarantee/3b1e8f10,Man wants a stronger guarantee of obedience
why_he_wants_to_ensure_the_listene/4539ddb4,He wants to ensure the listener remembers their obligation
why_he_wants_the_listener_to_leave/6c7e26df,He wants the listener to leave and go home immediately
why_he_is_directly_told_to_remembe/52650c0a,He is directly told to remember his undertaking
why_he_is_explicitly_told_to_remem/936b00f5,He is explicitly told to remember that young man
why_he_is_reacting_to_the_situatio/a913ac3f,He is reacting to the situation or previous words with scorn
why_he_wants_to_take_in_his_surrou/cfb2c645,He wants to take in his surroundings or check for danger
why_he_dislikes_his_current_condit/38b634f5,He dislikes his current condition and environment
why_he_imagines_a_creature_better_/8775b002,He imagines a creature better suited to the wet marsh
why_he_is_cold_and_shuddering_and_/dc8960fd,He is cold and shuddering and seeks warmth or comfort
why_he_feels_physically_weak_or_ch/168098b2,He feels physically weak or chilled and fears coming apart
why_he_wants_to_leave_the_narrator/48724296,He wants to leave the narrator and move toward the church and river
why_his_legs_or_feet_are_sore_or_n/90b83be3,His legs or feet are sore or numbed
why_narrator_is_observing_the_man'/e994dc0c,Narrator is observing the man's departure
why_he_wants_to_avoid_being_hurt_b/367c553b,He wants to avoid being hurt by nettles and brambles
why_narrator_is_imaginative_and_se/16014e5e,Narrator is imaginative and sees the graveyard as haunted
why_the_setting_of_graves_and_gree/61c0dbe7,The setting of graves and green mounds prompts morbid fantasy
why_he_has_been_limping_toward_the/4e4da14b,He has been limping toward the wall as his path
why_he_needs_to_cross_the_wall_to_/4b79d230,He needs to cross the wall to continue toward the river
"why_his_legs_are_numbed_and_stiff,/8176e87e","His legs are numbed and stiff, affecting his movement"
why_he_wants_to_check_whether_the_/fcb0286b,He wants to check whether the narrator is still there or going home
why_narrator_is_watching_the_man’s/3e3480df,Narrator is watching the man’s movements
why_he_has_been_ordered_to_go_home/370a4634,He has been ordered to go home and wants to appear compliant
why_he_may_fear_the_man_seeing_him/e88d4311,He may fear the man seeing him lingering
why_he_wants_to_get_away_quickly_a/c01202c1,He wants to get away quickly and obey the command
why_he_may_be_frightened_of_the_ma/7467fa02,He may be frightened of the man or the marsh
why_he_wants_to_check_what_the_man/6ea36c47,He wants to check what the man is doing behind him
why_narrator_is_checking_whether_t/397f18f1,Narrator is checking whether the man is following or leaving
"why_he_remains_cold,_sore,_and_in_/ecbbf811","He remains cold, sore, and in need of warmth"
why_he_wants_to_avoid_pain_with_hi/da6a4591,He wants to avoid pain with his sore feet by stepping carefully
why_the_stones_serve_as_stepping-p/a3e3c955,The stones serve as stepping-places when the marsh is wet
why_he_is_curious_or_concerned_abo/338348f5,He is curious or concerned about the man's progress
why_the_low_light_and_distance_fla/2bfd2966,The low light and distance flatten the marshes into a line
"why_from_his_vantage,_the_river_ap/dca03539","From his vantage, the river appears narrow and line-like"
why_the_evening_or_storm_light_col/37b77a12,The evening or storm light colors the sky in red and black
why_narrator_projects_'angry'_emot/b7b13329,Narrator projects 'angry' emotion onto the sky's appearance
why_narrator_is_present_at_the_riv/193aba79,Narrator is present at the river and observing the prospect
why_narrator_visually_examines_the/48b26162,Narrator visually examines the two black things and recalls their purpose
why_beacon’s_appearance_compared_t/021ddc40,Beacon’s appearance compared to an unhooped cask on a pole
why_narrator_continues_to_inspect_/d552c813,Narrator continues to inspect the two black upright things
why_man’s_apparent_injury_or_condi/573524fd,Man’s apparent injury or condition causing limping
why_man’s_approach_to_the_gibbet_a/01fff10e,Man’s approach to the gibbet associated with chains that once held a pirate
"why_narrator’s_fearful,_morbid_ima/ffc4c1be","Narrator’s fearful, morbid imagination"
why_narrator’s_thought_that_the_li/e0dd7c1b,Narrator’s thought that the limping man is the pirate come to life
why_cattle_respond_to_the_moving_m/98a349cf,Cattle respond to the moving man by the gibbet
why_man’s_limping_movement_drawing/52f2555c,Man’s limping movement drawing the cattle’s attention
why_narrator_anthropomorphizes_the/a024e2e2,Narrator anthropomorphizes the cattle in light of his own fear
why_narrator’s_lingering_fear_of_t/85179946,Narrator’s lingering fear of the horrible young man
why_horrible_young_man_is_no_longe/42d55a23,Horrible young man is no longer visible in the vicinity
why_earlier_terrifying_impressions/db40c4eb,"Earlier terrifying impressions of the man, the gibbet, and the pirate idea"
why_inability_to_locate_the_horrib/a10043da,Inability to locate the horrible young man
why_narrator’s_renewed_fear_and_de/7c15c70c,Narrator’s renewed fear and desire for safety at home
