:START_ID,:END_ID,:TYPE,strength
agent_man/7e093c62,event/9c9c7dae,AFFECTED_IN,0.9
agent_man/53c38221,event/e333f7fa,AFFECTED_IN,0.9
agent_narrator/b5c17070,event/da8fb73d,AFFECTED_IN,0.5
agent_narrator/443124f4,event/23db875d,AFFECTED_IN,0.7
agent_narrator/5869a83f,event/0fa10d6a,AFFECTED_IN,1.0
agent_narrator/ff15be75,event/03c63d58,AFFECTED_IN,1.0
agent_narrator/6aea62b4,event/40e8f917,AFFECTED_IN,1.0
agent_narrator/4eb12b54,event/4b697889,AFFECTED_IN,1.0
agent_narrator/d525e72a,event/790d8e57,AFFECTED_IN,1.0
agent_narrator/e06c0e18,event/456a94fa,AFFECTED_IN,1.0
agent_narrator/d16dd796,event/96efa59b,AFFECTED_IN,1.0
agent_narrator/a428c06a,event/1fc209e2,AFFECTED_IN,1.0
agent_narrator/ffbd31d2,event/832f148d,AFFECTED_IN,1.0
agent_narrator/e1294307,event/5a0b6e57,AFFECTED_IN,1.0
agent_narrator/e88a3117,event/9031a84c,AFFECTED_IN,1.0
agent_narrator/b2acad9c,event/7f95ad8e,AFFECTED_IN,1.0
agent_narrator/aa799799,event/3811de1a,AFFECTED_IN,1.0
agent_narrator/3a74f0a2,event/1adfc414,AFFECTED_IN,1.0
agent_narrator/1d66e115,event/c8446ed4,AFFECTED_IN,1.0
agent_narrator/91c465fb,event/3962a937,AFFECTED_IN,1.0
agent_narrator/4e6ca929,event/a9a5b845,AFFECTED_IN,0.9
agent_narrator/98aa5dbd,event/68197964,AFFECTED_IN,1.0
agent_narrator/fb4a1fd6,event/1e7f50df,AFFECTED_IN,1.0
agent_narrator/826ca5ff,event/ac84ccaa,AFFECTED_IN,1.0
agent_narrator/b4b36e03,event/c4e03f53,AFFECTED_IN,1.0
agent_narrator/090b8d64,event/5505fdd2,AFFECTED_IN,0.8
agent_narrator/cdd2df3b,event/02de31bf,AFFECTED_IN,0.8
agent_narrator/3d107ad8,event/67338777,AFFECTED_IN,0.6
agent_narrator/8c3d2db9,event/b3e1d293,AFFECTED_IN,0.7
agent_narrator/3d4b57a7,event/294b660c,AFFECTED_IN,0.8
agent_narrator/df875f77,event/46f4f8cd,AFFECTED_IN,0.9
agent_narrator/5a6dc099,event/b167a556,AFFECTED_IN,0.9
agent_narrator/281bda1a,event/fe76218e,AFFECTED_IN,0.7
agent_narrator/ea2b094b,event/a22d867e,AFFECTED_IN,1.0
agent_the_cattle/010fef26,event/0b37a956,AFFECTED_IN,0.8
agent_the_horrible_young_man/58de653a,event/8ce5c4a7,AFFECTED_IN,0.9
