:ID,quote,chapter
src/event/e4abc840,and that the distant savage lair from which the wind was rushing was the sea;,2
src/event/d6adac98,"and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip.",2
src/event/b9361e8f,"and beginning to cry, was Pip.",2
src/event/1d1afd66,“Hold your noise!” cried a terrible voice,2
src/event/fb316fa8,as a man started up from among the graves,2
src/event/96bcca25,or I’ll cut your throat!,2
src/event/aa945df6,"A fearful man, all in coarse grey, with a great iron on his leg.",2
src/event/35914890,"A man with no hat, and with broken shoes, and with an old rag tied round his head.",2
src/event/e2bbf67d,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/913a467a,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/e71d46c3,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/206ef04a,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/fd682a65,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/8cb5874c,"A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars.",2
src/event/43c6a2ed,"who limped, and shivered, and glared, and growled;",2
src/event/d3620040,"who limped, and shivered, and glared, and growled;",2
src/event/f7547185,"who limped, and shivered, and glared, and growled;",2
src/event/e81bcb3f,"who limped, and shivered, and glared, and growled;",2
src/event/75fc6330,as he seized me by the chin.,2
src/event/2e39257d,and whose teeth chattered in his head as he seized me by the chin.,2
src/event/8c695cbd,"Oh! Don’t cut my throat, sir,” I pleaded in terror.",2
src/event/eaac0ce9,"Pray don’t do it, sir.",2
src/event/3cb148b9,"Once more,” said the man, staring at me.",2
src/event/237e7173,"Once more,” said the man, staring at me.",2
src/event/ab283a8d,Give it mouth!,2
src/event/389cfe9a,"Show us where you live,” said the man.",2
src/event/c0f0db6b,Pint out the place!,2
src/event/1071df9f,I pointed to where our village lay,2
src/event/641ebe1c,on the flat in-shore among the alder-trees and pollards,2
src/event/94a9b4bc,a mile or more from the church,2
src/event/89c5ddd0,"The man, after looking at me for a moment...",2
src/event/2bea52ef,...turned me upside down...,2
src/event/afcc49cd,...and emptied my pockets.,2
src/event/4160f7b0,There was nothing in them but a piece of bread.,2
src/event/42649e65,...he was so sudden and strong that he made it go head over heels before me...,2
src/event/6435757d,...and I saw the steeple under my feet...,2
src/event/8f5d9b22,...when the church came to itself...,2
src/event/db0a04ac,...I was seated on a high tombstone...,2
src/event/71cd4f31,...trembling while he ate the bread ravenously.,2
src/event/4230c99e,...while he ate the bread ravenously.,2
src/event/1c6de05d,"You young dog,” said the man, licking his lips, “what fat cheeks you ha’ got.",2
src/event/45089e42,"You young dog,” said the man, licking his lips, “what fat cheeks you ha’ got.",2
src/event/d759a3cb,"You young dog,” said the man, licking his lips, “what fat cheeks you ha’ got.",2
src/event/0aebb565,I believe they were fat,2
src/event/a57ddfb5,I was at that time undersized for my years,2
src/event/eb972a9f,and not strong,2
src/event/d0e1a90e,Darn me if I couldn’t eat ’em,2
src/event/4046373e,with a threatening shake of his head,2
src/event/c5128477,and if I han’t half a mind to’t!,2
src/event/fe6caa41,I earnestly expressed my hope that he wouldn’t,2
src/event/2935a3bd,held tighter to the tombstone on which he had put me,2
src/event/2710339d,"partly, to keep myself upon it",2
src/event/2e408596,"partly, to keep myself from crying",2
src/event/7f3a977d,“Now lookee here!” said the man.,2
src/event/c7facd44,“Where’s your mother?”,2
src/event/0143cc7e,He started,2
src/event/2635e3af,made a short run,2
src/event/296c59fe,and stopped,2
src/event/42eecd6a,and looked over his shoulder,2
src/event/528e201d,"There, sir!” I timidly explained.",2
src/event/b818cd32,Also Georgiana. That’s my mother.,2
src/event/999934b5,Oh!,2
src/event/74335304,coming back,2
src/event/3d53407b,And is that your father alonger your mother?,2
src/event/fbd35b1a,"“Yes, sir,” said I;",2
src/event/81f920cb,“him too; late of this parish.”,2
src/event/7a322664,"“Ha!” he muttered then, considering.",2
src/event/78a3437b,"“Ha!” he muttered then, considering.",2
src/event/b8bf9c67,"“Who d’ye live with,—supposin’ you’re kindly let to live, which I han’t made up my mind about?”",2
src/event/c0d9af1a,“which I han’t made up my mind about?”,2
src/event/2baa163d,"My sister, sir,—Mrs. Joe Gargery,—wife of Joe Gargery, the blacksmith, sir.",2
src/event/d59476ba,"“Blacksmith, eh?” said he.",2
src/event/97974a50,And looked down at his leg.,2
src/event/7629061b,After darkly looking at his leg and me several times,2
src/event/84bd73dd,he came closer to my tombstone,2
src/event/843717cc,took me by both arms,2
src/event/b69acf8f,tilted me back as far as he could hold me,2
src/event/b59ce97b,his eyes looked most powerfully down into mine,2
src/event/251da14d,mine looked most helplessly up into his,2
src/event/efe70c70,"Now lookee here,” he said, “the question being whether you’re to be let to live.",2
src/event/9be8dc91,You know what a file is?,2
src/event/70c29d9f,After each question he tilted me over a little more,2
src/event/21553908,he tilted me over a little more,2
src/event/1cc57076,to give me a greater sense of helplessness,2
src/event/fd7407d4,to give me a greater sense of danger,2
src/event/215014bd,You get me a file.,2
src/event/93ca087b,And you get me wittles.,2
src/event/4507e63d,You bring ’em both to me.,2
src/event/a3ecd880,Or I’ll have your heart and liver out.,2
src/event/2b265c01,He tilted me again.,2
src/event/73d53cfb,He tilted me again.,2
src/event/dda4e9b4,He tilted me again.,2
src/event/82740390,He tilted me again.,2
src/event/f4ee769c,I was dreadfully frightened,2
src/event/538dc79a,and so giddy,2
src/event/d9574ffe,I clung to him with both hands,2
src/event/a5062160,"I said, 'If you would kindly please to let me keep upright, sir'",2
src/event/717d2d37,perhaps I shouldn’t be sick,2
src/event/4bc2e046,and perhaps I could attend more,2
src/event/314ad968,He gave me a most tremendous dip and roll,2
src/event/4bf8cf87,so that the church jumped over its own weathercock,2
src/event/0ed04f8d,"Then, he held me by the arms",2
src/event/6ecf90ca,in an upright position on the top of the stone,2
src/event/4e697227,and went on in these fearful terms,2
src/event/7254ba65,"You bring me, to-morrow morning early, that file and them wittles.",2
src/event/06405eb0,"You bring the lot to me, at that old Battery over yonder.",2
src/event/bc7fb6e7,"You do it, and you never dare to say a word or dare to make a sign concerning your having seen such a person as me.",2
src/event/8b4d62e5,"You fail, or you go from my words in any partickler, no matter how small it is, and your heart and your liver shall be tore out, roasted, and ate.",2
src/event/45ad643e,"Now, I ain’t alone, as you may think I am.",2
src/event/83194a7c,"There’s a young man hid with me, in comparison with which young man I am a Angel.",2
src/event/e6fda659,That young man hears the words I speak.,2
src/event/1be2d8bd,"That young man has a secret way pecooliar to himself, of getting at a boy, and at his heart, and at his liver.",2
src/event/905f93a7,It is in wain for a boy to attempt to hide himself from that young man.,2
src/event/eb029c7e,A boy may lock his door.,2
src/event/d1318c80,may be warm in bed.,2
src/event/3045f666,may tuck himself up.,2
src/event/88529e28,may draw the clothes over his head.,2
src/event/68f1f744,may think himself comfortable and safe.,2
src/event/67041534,that young man will softly creep and creep his way to him.,2
src/event/dc2d4409,and tear him open.,2
src/event/e96e70b4,"I am a keeping that young man from harming of you at the present moment, with great difficulty.",2
src/event/412f7c76,I find it wery hard to hold that young man off of your inside.,2
src/event/eb195101,"Now, what do you say?",2
src/event/9fddbca7,I said that I would get him the file,2
src/event/0af67029,and I would get him what broken bits of food I could,2
src/event/b91411b6,"and I would come to him at the Battery, early in the morning.",2
src/event/32e04083,“Say Lord strike you dead if you don’t!” said the man.,2
src/event/649409af,"“Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!”",2
src/event/80299aea,"“Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!”",2
src/event/e5880cab,"“Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!”",2
src/event/5f3cecc8,"“Now,” he pursued, “you remember what you’ve undertook, and you remember that young man, and you get home!”",2
src/event/eaf3ee09,I wish I was a frog.,2
src/event/33221096,Or a eel!,2
src/event/e3e771ff,glancing about him over the cold wet flat.,2
src/event/03a04f97,he hugged his shuddering body in both his arms,2
src/event/08b86c31,"clasping himself, as if to hold himself together",2
src/event/27a5a4db,and limped towards the low church wall,2
src/event/56fc2f5a,As I saw him go,2
src/event/7c5cc622,picking his way among the nettles,2
src/event/e94419d6,and among the brambles that bound the green mounds,2
src/event/7596d822,he looked in my young eyes as if he were eluding the hands of the dead people,2
src/event/bacf71b3,"as if he were eluding the hands of the dead people, stretching up cautiously out of their graves",2
src/event/881ca07e,to get a twist upon his ankle and pull him in,2
src/event/21f1249d,When he came to the low church wall,2
src/event/dd1694ef,he got over it,2
src/event/df1c8e8e,and then turned round to look for me,2
src/event/729a1bf4,When I saw him turning,2
src/event/6d99c8b3,I set my face towards home,2
src/event/3d2b0ef1,and made the best use of my legs,2
src/event/dbd8a9af,But presently I looked over my shoulder,2
src/event/2e50f79e,and saw him going on again towards the river,2
src/event/4c3b7695,still hugging himself in both arms,2
src/event/8361d9fd,and picking his way with his sore feet among the great stones dropped into the marshes,2
src/event/09b5c23d,among the great stones dropped into the marshes,2
src/event/f4a29625,for stepping-places when the rains were heavy or the tide was in,2
src/event/49162eb8,as I stopped to look after him,2
src/event/c876061c,to look after him,2
src/event/387f8b65,The marshes were just a long black horizontal line,2
src/event/1d38290d,and the river was just another horizontal line,2
src/event/e68cb68b,and the sky was just a row of long angry red lines and dense black lines intermixed,2
src/event/a8ebe37d,I could faintly make out the only two black things in all the prospect that seemed to be standing upright,2
src/event/cad1181f,one of these was the beacon by which the sailors steered,2
src/event/db3b93f5,an ugly thing when you were near it,2
src/event/e31986bb,"the other, a gibbet, with some chains hanging to it which had once held a pirate",2
src/event/2c74055a,The man was limping on towards this latter,2
src/event/160a262c,as if he were the pirate come to life,2
src/event/1d61cebc,"and come down, and going back to hook himself up again",2
src/event/74fd30ca,It gave me a terrible turn when I thought so;,2
src/event/c66b57e7,"as I saw the cattle lifting their heads to gaze after him,",2
src/event/f891bbaa,I wondered whether they thought so too.,2
src/event/236b86a5,"I looked all round for the horrible young man,",2
src/event/d17a30ee,and could see no signs of him.,2
src/event/f5a5d799,"But now I was frightened again,",2
src/event/64489aa2,and ran home without stopping.,2
src/event/52968a23,"My sister, Mrs. Joe Gargery, was more than twenty years older than I",3
src/event/fff06260,and had established a great reputation with herself and the neighbours,3
src/event/476a9e62,because she had brought me up 'by hand.',3
src/event/eb3858f0,Having at that time to find out for myself what the expression meant,3
src/event/91bbd882,and knowing her to have a hard and heavy hand,3
src/event/2bb5c363,and to be much in the habit of laying it upon her husband as well as upon me,3
src/event/26f11059,and to be much in the habit of laying it upon her husband as well as upon me,3
src/event/10e7bd7b,I supposed that Joe Gargery and I were both brought up by hand.,3
src/event/d6b5e9f6,"She was not a good-looking woman, my sister;",3
src/event/7299a817,I had a general impression that she must have made Joe Gargery marry her by hand.,3
src/event/624a4362,"Joe was a fair man, with curls of flaxen hair on each side of his smooth face,",3
src/event/212e7190,and with eyes of such a very undecided blue that they seemed to have somehow got mixed with their own whites.,3
src/event/d9debca0,"He was a mild, good-natured, sweet-tempered, easy-going, foolish, dear fellow,—a sort of Hercules in strength, and also in weakness.",3
src/event/97448eb1,"My sister, Mrs. Joe, with black hair and eyes...",3
src/event/fb3eec6c,...had such a prevailing redness of skin...,3
src/event/2bb1963b,...I sometimes used to wonder whether it was possible she washed herself with a nutmeg-grater instead of soap.,3
src/event/054e09b3,She was tall and bony...,3
src/event/54de39d1,...and almost always wore a coarse apron...,3
src/event/b0ca3ff9,...fastened over her figure behind with two loops...,3
src/event/ec07a641,...having a square impregnable bib in front...,3
src/event/d84f2cd8,...that was stuck full of pins and needles.,3
src/event/3cb8f631,...She made it a powerful merit in herself...,3
src/event/8b00cfea,"...and a strong reproach against Joe, that she wore this apron so much.",3
src/event/27f8db52,Though I really see no reason why she should have worn it at all...,3
src/event/d503756e,"...or why, if she did wear it at all, she should not have taken it off, every day of her life.",3
src/event/a7ff6531,Joe’s forge adjoined our house,3
src/event/e2f8b9d9,"which was a wooden house, as many of the dwellings in our country were",3
src/event/610b1c09,When I ran home from the churchyard,3
src/event/c697d8d9,the forge was shut up,3
src/event/3c55aad9,and Joe was sitting alone in the kitchen,3
src/event/0e15641e,Joe and I being fellow-sufferers,3
src/event/ba5d3430,Joe imparted a confidence to me,3
src/event/89f13d22,the moment I raised the latch of the door,3
src/event/74ef55d6,and peeped in at him opposite to it,3
src/event/077b749b,sitting in the chimney corner,3
src/event/8253fa50,"Mrs. Joe has been out a dozen times, looking for you, Pip.",3
src/event/bd9c66ae,"And she’s out now, making it a baker’s dozen.",3
src/event/eb8737df,"And she’s out now, making it a baker’s dozen.",3
src/event/4f3c8c0c,"Yes, Pip,” said Joe;",3
src/event/c9b32745,"and what’s worse, she’s got Tickler with her.",3
src/event/5fa12da9,I twisted the only button on my waistcoat round and round,3
src/event/7ecac74f,and looked in great depression at the fire,3
src/event/b6317cb0,looked in great depression at the fire,3
src/event/c02a5c75,Tickler was a wax-ended piece of cane,3
src/event/b9ff340d,worn smooth by collision with my tickled frame,3
src/event/a6d265ad,"“She sot down,” said Joe,",3
src/event/39754bda,"“and she got up,” said Joe,",3
src/event/eaeabcdb,"“and she made a grab at Tickler,”",3
src/event/1fadf287,“and she Ram-paged out.”,3
src/event/408e7712,"“slowly clearing the fire between the lower bars with the poker,”",3
src/event/b67ffcea,“and looking at it;”,3
src/event/5707584f,"“she Ram-paged out, Pip.”",3
src/event/4a7eaca7,"Has she been gone long, Joe?",3
src/event/b5e348fe,I always treated him as a larger species of child,3
src/event/25c8b1eb,and as no more than my equal.,3
src/event/1ce7580e,"Joe, glancing up at the Dutch clock",3
src/event/9aec98f4,"she’s been on the Ram-page, this last spell, about five minutes, Pip.",3
src/event/17ac2b2b,"Get behind the door, old chap, and have the jack-towel betwixt you.",3
src/event/91c9e749,have the jack-towel betwixt you.,3
src/event/be27edef,I took the advice.,3
src/event/3fd6d705,"My sister, Mrs. Joe, throwing the door wide open,",3
src/event/47c2b765,"and finding an obstruction behind it,",3
src/event/ccac29d8,"immediately divined the cause,",3
src/event/e92109f5,and applied Tickler to its further investigation.,3
src/event/a7a5a365,"She concluded by throwing me—I often served as a connubial missile—at Joe,",3
src/event/119a9b23,"who, glad to get hold of me on any terms,",3
src/event/c89a84ba,passed me on into the chimney,3
src/event/1875d6b1,and quietly fenced me up there with his great leg.,3
src/event/66bbac7d,"“Where have you been, you young monkey?” said Mrs. Joe",3
src/event/411a2819,stamping her foot,3
src/event/909e7fdb,Tell me directly what you’ve been doing to wear me away with fret and fright and worrit,3
src/event/5dc1421a,to wear me away with fret and fright and worrit,3
src/event/8b22eee1,"I’d have you out of that corner if you was fifty Pips, and he was five hundred Gargerys.",3
src/event/688bbb5f,"“I have only been to the churchyard,” said I",3
src/event/db67a9e2,crying,3
src/event/443aaf59,rubbing myself,3
src/event/7021ab57,from my stool,3
src/event/8842d1ac,“Churchyard!” repeated my sister.,3
src/event/99bc5c6e,"“If it warn’t for me you’d have been to the churchyard long ago, and stayed there.”",3
src/event/0161ef6a,“Who brought you up by hand?”,3
src/event/2a70782d,"And why did I do it, I should like to know?",3
src/event/50e861f3,“I don’t!” said my sister.,3
src/event/d4cf4f92,“I’d never do it again!”,3
src/event/2c4867f3,I know that.,3
src/event/d94bd845,I may truly say I’ve never had this apron of mine off since born you were.,3
src/event/dde4d7c3,It’s bad enough to be a blacksmith’s wife (and him a Gargery) without being your mother.,3
src/event/256112bf,My thoughts strayed from that question,3
src/event/6d16587f,as I looked disconsolately at the fire,3
src/event/724cc6fa,the fugitive out on the marshes with the ironed leg,3
src/event/6a740a92,the mysterious young man,3
src/event/8bc51659,the file,3
src/event/1a204ba0,the food,3
src/event/e33a8631,the dreadful pledge I was under to commit a larceny,3
src/event/942f1dd1,to commit a larceny on those sheltering premises,3
src/event/dfe057f0,rose before me in the avenging coals,3
src/event/14e77d26,"Hah!” said Mrs. Joe, restoring Tickler to his station.",3
src/event/374d8670,"Churchyard, indeed!",3
src/event/4d858841,"You may well say churchyard, you two.",3
src/event/453b47da,"One of us, by the by, had not said it at all.",3
src/event/1c8e8de5,"You’ll drive me to the churchyard betwixt you, one of these days.",3
src/event/3acddc98,"and O, a pr-r-recious pair you’d be without me!",3
src/event/a6a39ae7,As she applied herself to set the tea-things,3
src/event/e015b2ed,Joe peeped down at me over his leg,3
src/event/d03485a9,as if he were mentally casting me and himself up,3
src/event/c7a242c8,calculating what kind of pair we practically should make,3
src/event/f28e8847,he sat feeling his right-side flaxen curls and whisker,3
src/event/8d8190ba,following Mrs. Joe about with his blue eyes,3
src/event/69e5b80c,as his manner always was at squally times,3
src/event/570b1ec9,"My sister had a trenchant way of cutting our bread and butter for us, that never varied.",3
src/event/8491a814,"First, with her left hand she jammed the loaf hard and fast against her bib.",3
src/event/60572837,"where it sometimes got a pin into it, and sometimes a needle.",3
src/event/74684ef1,"where it sometimes got a pin into it, and sometimes a needle.",3
src/event/ebc112a7,which we afterwards got into our mouths.,3
src/event/4bfece74,Then she took some butter (not too much) on a knife.,3
src/event/8e3568b0,and spread it on the loaf.,3
src/event/2cf0451c,"as if she were making a plaster,—using both sides of the knife with a slapping dexterity.",3
src/event/2d307987,and trimming and moulding the butter off round the crust.,3
src/event/681e8412,"Then, she gave the knife a final smart wipe on the edge of the plaster.",3
src/event/a7031133,and then sawed a very thick round off the loaf.,3
src/event/81c0013e,"which she finally, before separating from the loaf, hewed into two halves.",3
src/event/0508b7b0,"of which Joe got one, and I the other.",3
src/event/4c350d14,"of which Joe got one, and I the other.",3
src/event/7b8c18c6,though I was hungry,3
src/event/1363f1b6,I dared not eat my slice,3
src/event/e10116d0,I felt that I must have something in reserve,3
src/event/31a3d6fd,for my dreadful acquaintance,3
src/event/916ec6ba,his ally the still more dreadful young man,3
src/event/a1b2c165,I knew Mrs. Joe’s housekeeping to be of the strictest kind,3
src/event/b2bd3900,my larcenous researches might find nothing available in the safe,3
src/event/687b8a66,I resolved to put my hunk of bread and butter down the leg of my trousers,3
src/event/950a7e69,The effort of resolution necessary to the achievement of this purpose I found to be quite awful.,3
src/event/0a281f86,It was as if I had to make up my mind to leap from the top of a high house.,3
src/event/b899c7b7,or plunge into a great depth of water.,3
src/event/dc7cc97a,And it was made the more difficult by the unconscious Joe.,3
src/event/81507ac0,In our already-mentioned freemasonry as fellow-sufferers.,3
src/event/b0a1e420,and in his good-natured companionship with me.,3
src/event/148dae8d,it was our evening habit to compare the way we bit through our slices.,3
src/event/9f0331c0,by silently holding them up to each other’s admiration now and then.,3
src/event/5318377a,which stimulated us to new exertions.,3
src/event/3997f532,"Joe several times invited me, by the display of his fast diminishing slice, to enter upon our usual friendly competition",3
src/event/585bd522,"found me, each time, with my yellow mug of tea on one knee",3
src/event/f6fec7bf,my untouched bread and butter on the other,3
src/event/71289266,I desperately considered that the thing I contemplated must be done,3
src/event/9815f369,that it had best be done in the least improbable manner consistent with the circumstances,3
src/event/e2127507,I took advantage of a moment when Joe had just looked at me,3
src/event/2bf28fa6,and got my bread and butter down my leg,3
src/event/d8a1bec8,Joe was evidently made uncomfortable by what he supposed to be my loss of appetite,3
src/event/da96e050,and took a thoughtful bite out of his slice,3
src/event/a69f874b,which he didn’t seem to enjoy,3
src/event/2af3af41,He turned it about in his mouth much longer than usual,3
src/event/a3614704,and after all gulped it down like a pill,3
src/event/55fab5ca,He was about to take another bite,3
src/event/ce2f8646,and had just got his head on one side for a good purchase on it,3
src/event/2e99ebff,"when his eye fell on me, and he saw that my bread and butter was gone",3
src/event/4a343af5,Joe stopped on the threshold,3
src/event/a1c62d7c,and stared at me,3
src/event/6c08d9b9,were too evident to escape my sister’s observation,3
src/event/da094e9d,The wonder and consternation with which Joe... were too evident,3
src/event/8644bf27,"“What’s the matter _now_?” said she, smartly, as she put down her cup.",3
src/event/9f749172,as she put down her cup.,3
src/event/7bf72f29,"“I say, you know!” muttered Joe, shaking his head at me in very serious remonstrance.",3
src/event/67b94354,shaking his head at me in very serious remonstrance.,3
src/event/62b58077,"“Pip, old chap! You’ll do yourself a mischief.",3
src/event/9a7c0f5b,It’ll stick somewhere.,3
src/event/c8303616,"You can’t have chawed it, Pip.",3
src/event/70ab8d2d,"What’s the matter now? repeated my sister, more sharply than before.",3
src/event/d95a72b1,more sharply than before.,3
src/event/d39b9474,"“If you can cough any trifle on it up, Pip, I’d recommend you to do it,” said Joe, all aghast.",3
src/event/91588348,"“If you can cough any trifle on it up, Pip, I’d recommend you to do it,” said Joe, all aghast.",3
src/event/cf903df8,"“Manners is manners, but still your elth’s your elth.”",3
src/event/d48a9dfc,"my sister was quite desperate, so she pounced on Joe",3
src/event/bb0ba663,taking him by the two whiskers,3
src/event/854842c7,knocked his head for a little while against the wall behind him,3
src/event/b03bbe50,while I sat in the corner,3
src/event/0fbb0ec0,looking guiltily on,3
src/event/385e5297,"Now, perhaps you’ll mention what’s the matter,",3
src/event/b1762daf,out of breath,3
src/event/17f4efb7,you staring great stuck pig.,3
src/event/d7e03d38,Joe looked at her in a helpless way,3
src/event/34bec9df,then took a helpless bite,3
src/event/8a076a1d,and looked at me again,3
src/event/6302c8b6,"You know, Pip,” said Joe, solemnly, with his last bite in his cheek, and speaking in a confidential voice, as if we two were quite alone,",3
src/event/8bb4a161,"you and me is always friends, and I’d be the last to tell upon you, any time.",3
src/event/cf0644fb,But such a—” he moved his chair,3
src/event/8f70f213,and looked about the floor between us,3
src/event/fc71fb7f,and then again at me,3
src/event/2453b367,such a most oncommon Bolt as that!,3
src/event/3920228a,"You know, old chap,” said Joe, looking at me, and not at Mrs. Joe,",3
src/event/ef5baf0c,"Joe, looking at me, and not at Mrs. Joe,",3
src/event/cae270a3,"with his bite still in his cheek,",3
src/event/a14553b5,"I Bolted, myself, when I was your age—frequent—",3
src/event/943d92c7,as a boy I’ve been among a many Bolters;,3
src/event/d6741a40,"but I never see your Bolting equal yet, Pip,",3
src/event/40f0f90b,and it’s a mercy you ain’t Bolted dead.,3
src/event/e6662d58,My sister made a dive at me,3
src/event/3e7b37a5,fished me up by the hair,3
src/event/e927957a,"saying nothing more than the awful words, 'You come along and be dosed.'",3
src/event/3db5732f,Some medical beast had revived Tar-water in those days as a fine medicine,3
src/event/7f9dbd20,Mrs. Joe always kept a supply of it in the cupboard,3
src/event/9745c527,having a belief in its virtues correspondent to its nastiness,3
src/event/27b9860e,so much of this elixir was administered to me as a choice restorative,3
src/event/96aa06ce,"I was conscious of going about, smelling like a new fence",3
src/event/b763cb82,the urgency of my case demanded a pint of this mixture,3
src/event/dbfa9722,"which was poured down my throat, for my greater comfort",3
src/event/38d8a21d,while Mrs. Joe held my head under her arm,3
src/event/1b637c8c,as a boot would be held in a bootjack,3
src/event/c6b47fd2,Joe got off with half a pint,3
src/event/412f5c29,but was made to swallow that,3
src/event/7efc6eb2,much to his disturbance,3
src/event/b7625229,as he sat slowly munching and meditating before the fire,3
src/event/53f366e6,as he sat slowly munching and meditating before the fire,3
src/event/ab1b20a6,as he sat slowly munching and meditating before the fire,3
src/event/d45daec2,Judging from myself,3
src/event/0583bbc6,I should say he certainly had a turn afterwards,3
src/event/7bdb1db5,if he had had none before,3
src/event/ce941dc6,Conscience is a dreadful thing when it accuses man or boy,3
src/event/607a6db3,that secret burden co-operates with another secret burden down the leg of his trousers,3
src/event/547fd7c9,The guilty knowledge that I was going to rob Mrs. Joe,3
src/event/5609bd78,I never thought I was going to rob Joe,3
src/event/b61c5cac,for I never thought of any of the housekeeping property as his,3
src/event/8870ff33,the necessity of always keeping one hand on my bread and butter,3
src/event/51d15b0d,when I was ordered about the kitchen on any small errand,3
src/event/919871bb,almost drove me out of my mind,3
src/event/961ae1cb,as the marsh winds made the fire glow and flare,3
src/event/e1b4c037,I thought I heard the voice outside,3
src/event/61a2c697,"the voice outside, of the man with the iron on his leg",3
src/event/18ee75d3,"declaring that he couldn’t and wouldn’t starve until to-morrow, but must be fed now",3
src/event/4dcb33a1,"At other times, I thought, What if the young man",3
src/event/e5c7f493,who was with so much difficulty restrained from imbruing his hands in me,3
src/event/3a1aa5ad,should yield to a constitutional impatience,3
src/event/b446af4b,or should mistake the time,3
src/event/fa739ce9,should think himself accredited to my heart and liver,3
src/event/3ccfe11d,"If ever anybody’s hair stood on end with terror, mine must have done so then.",3
src/event/3ddd9e24,"But, perhaps, nobody’s ever did?",3
src/event/e74200b9,I had to stir the pudding for next day,3
src/event/cad8e9a7,with a copper-stick,3
src/event/d04bf592,that made me think afresh of the man with the load on his leg,3
src/event/49b26ee3,"found the tendency of exercise to bring the bread and butter out at my ankle, quite unmanageable",3
src/event/11b4fb7f,Happily I slipped away,3
src/event/bf290d78,deposited that part of my conscience in my garret bedroom,3
src/event/4e70981b,when I had done my stirring,3
src/event/9bb7856c,was taking a final warm in the chimney corner,3
src/event/4262651a,before being sent up to bed,3
src/event/d0cc4bf1,“Hark!” said I,3
src/event/2450c0e6,"was that great guns, Joe?",3
src/event/451b2447,"Mrs. Joe, who always took explanations upon herself",3
src/event/fa760f51,"said, snappishly, 'Escaped. Escaped.'",3
src/event/d541fe66,Administering the definition like Tar-water.,3
src/event/2d3dc4fd,While Mrs. Joe sat with her head bending over her needlework,3
src/event/4adee12e,"I put my mouth into the forms of saying to Joe, 'What’s a convict?'",3
src/event/98c7bcb8,"I put my mouth into the forms of saying to Joe, 'What’s a convict?'",3
src/event/0b5ef88c,Joe put his mouth into the forms of returning such a highly elaborate answer,3
src/event/6c98f9f1,that I could make out nothing of it but the single word 'Pip.',3
src/event/b3d33007,"There was a convict off last night,” said Joe, aloud,",3
src/event/518efb7c,after sunset-gun.,3
