source,target,type,mechanism,weight,confidence
event/4789009d,event/66940d31,EMOTIONAL_TRIGGER,"Trembling indicates anxiety, triggering his ravenous eating.",0.8,0.85
event/d3a42f5d,event/dab6faca,VIOLENCE_RESOLUTION,Fearful terms escalate to a threat of violence.,0.8,0.9
event/29ac16ba,event/6b2240e6,EMOTIONAL_TRIGGER,Cattle's gaze prompts narrator's reflection on their thoughts.,0.7,0.8
event/5d85d43b,event/c8ef63d9,EMOTIONAL_TRIGGER,The man's dark look triggers a physical response from the narrator.,0.7,0.8
event/7335f94f,event/259a0370,EMOTIONAL_TRIGGER,The man's intense gaze triggers feelings of threat in the listener.,0.8,0.9
event/e176cf95,event/9331dec2,PHYSICAL_ACTION,Using legs effectively contrasts with struggling on sore feet.,0.7,0.8
event/77da28e9,event/74763c3e,PHYSICAL_ACTION,Looking over the shoulder prompts the observation of movement.,0.8,0.9
event/66eba364,event/555154c1,EMOTIONAL_TRIGGER,Looking over his shoulder triggered a surprised reaction.,0.8,0.9
event/851ed7f7,event/98750389,EMOTIONAL_TRIGGER,Death triggers reflection on the surrounding desolation.,0.8,0.85
event/c4406c70,event/c93a13e6,COMMUNICATION_BARRIER,Timid explanation may hinder clear understanding of relationships.,0.7,0.8
event/406323a2,event/4555633c,EMOTIONAL_TRIGGER,Event A evokes a memory related to Event B.,0.7,0.8
event/a07696fc,event/8cb71b31,HUMOROUS_REMARK,The exaggerated action creates a humorous visual effect.,0.7,0.8
event/81f0fce2,event/4a853fd7,PHYSICAL_ACTION,Navigating obstacles prompted him to check for my presence.,0.7,0.8
event/ad9fa25a,event/a07696fc,EMOTIONAL_SUPPORT,The narrator's cling indicates a need for support during the dip.,0.8,0.9
event/cb00cf25,event/d3581bfa,EMOTIONAL_TRIGGER,Fear triggers the boy's instinct to hide.,0.8,0.85
event/06fa367b,event/551fcc32,IMAGINARY_CONSTRUCTION,His wish creates a vivid mental image of his actions.,0.7,0.8
event/74763c3e,event/9331dec2,PHYSICAL_ACTION,Movement towards the river despite physical discomfort.,0.8,0.9
event/ce0ab9ee,event/13bb3b67,BELIEF_DISMISSAL,Narrator's belief about brothers' actions is dismissed or questioned.,0.7,0.8
event/0f9fae9a,event/4555633c,EMOTIONAL_SUPPORT,"Providing food signifies care, enhancing emotional connection.",0.7,0.8
event/f10afe12,event/ea989bc2,HUMANITY_QUESTIONING,Uncertainty about life prompts reflection on family connections.,0.7,0.8
event/c93a13e6,event/97eb5c67,EMOTIONAL_TRIGGER,The question triggered his contemplation about family identity.,0.7,0.8
event/b05b9034,event/e420ea7a,PHYSICAL_ACTION,Tucking up leads to drawing clothes over the head.,0.8,0.9
event/b9931f87,event/36504ca4,PREVENTS,The narrator's action aims to prevent harm to the boy.,0.8,0.85
event/1a4d495b,event/7e42bd5f,PRECEDES,Threat leads to the appearance of a man with a physical constraint.,0.8,0.85
event/01b45407,event/d65ae510,PHYSICAL_ACTION,The man's gaze prompted a physical reaction.,0.7,0.8
event/4e86e5e2,event/fb74b832,EMOTIONAL_TRIGGER,Hope can trigger physical reassurance through touch.,0.7,0.8
event/93908411,event/a40bbbe5,EMOTIONAL_TRIGGER,The man's growl provokes fear in the speaker.,0.8,0.85
event/0d398d62,event/ee56a4d3,NOSTALGIA_INDUCEMENT,Reflecting on family prompts nostalgic thoughts about parents.,0.7,0.8
event/36504ca4,event/64ffeb85,PREVENTS,Difficulty in keeping the young man away hinders file retrieval.,0.7,0.8
event/406323a2,event/d83735eb,EMOTIONAL_TRIGGER,Event A evokes memories of youth in Event B.,0.7,0.8
event/45b40fde,event/31475e77,CULTURAL_EDUCATION,Tombstone inscriptions educate the narrator about his parents' identities.,0.8,0.85
event/7a66ea7e,event/ea989bc2,COMMUNICATION_BARRIER,Questioning indicates a lack of understanding about relationships.,0.7,0.8
event/d8205350,event/908fb546,EMOTIONAL_TRIGGER,Danger evokes a strong emotional response leading to demands.,0.7,0.8
event/f68be030,event/8470b653,EMOTIONAL_TRIGGER,The man's action triggers the narrator's emotional response.,0.7,0.8
event/7e04e8df,event/0dbcaeee,EMOTIONAL_TRIGGER,The cold environment triggers a physical response of hugging for warmth.,0.8,0.9
event/25a6f65b,event/13bb3b67,NOSTALGIA_INDUCEMENT,The sacred lozenges evoke memories of the brothers.,0.8,0.75
event/908fb546,event/9b820157,EMOTIONAL_TRIGGER,The character's demands evoke fear in the narrator.,0.8,0.85
event/7e42bd5f,event/4142d1d4,PHYSICAL_DETERIORATION,The man's appearance suggests neglect and poor condition of his shoes.,0.8,0.9
event/81f0fce2,event/1f311084,PHYSICAL_ACTION,Navigating obstacles led to overcoming the wall.,0.8,0.9
event/c02405c7,event/4a853fd7,PRECEDES,Event A occurs before Event B as a physical action.,0.8,0.9
event/5624f7e6,event/25a6f65b,CULTURAL_EDUCATION,"Lozenges symbolize remembrance, educating about familial loss.",0.8,0.9
event/2dc1096d,event/4789009d,EMOTIONAL_TRIGGER,"The tombstone setting triggered fear or anxiety, causing trembling.",0.7,0.8
event/71084a15,event/4e86e5e2,EMOTIONAL_SUPPORT,The request indicates care for her well-being.,0.8,0.85
event/528b0aa9,event/7a5f0777,IDENTITY_CONFLICT,The narrator's perception of his father is influenced by a lack of familiarity.,0.8,0.85
event/d40a45ee,event/4d492d90,COMMUNICATION_BARRIER,Misunderstanding led to a lack of clear direction.,0.7,0.8
event/a07696fc,event/d3a42f5d,EMOTIONAL_TRIGGER,The dip and roll provoked a strong emotional response.,0.7,0.8
event/406323a2,event/a13c3531,EMOTIONAL_TRIGGER,Event A provokes a strong emotional response in Event B.,0.8,0.75
event/cccf76a6,event/34fcf60e,EMOTIONAL_TRIGGER,The memorable afternoon evokes strong emotions related to Georgiana's death.,0.8,0.75
event/d385a7e1,event/c15c5023,EMOTIONAL_TRIGGER,The speaker's terror triggers a reaction in the man.,0.8,0.85
event/4555633c,event/9687e721,ENCOURAGES,Reminding prompts action towards getting home.,0.7,0.8
event/479606d4,event/34fcf60e,PRECEDES,Philip's death occurred before Georgiana's death.,0.9,0.95
event/60ee9681,event/de543a5d,PHYSICAL_SENSATION,Briars cause physical discomfort leading to shivering.,0.8,0.9
event/9b820157,event/71084a15,EMOTIONAL_TRIGGER,Fear prompted a request for physical support.,0.8,0.85
event/4cf2cced,event/07ee8f41,EMOTIONAL_TRIGGER,The sky's appearance evokes a sense of foreboding linked to the gibbet.,0.7,0.8
event/e3ce79f1,event/f68be030,EMOTIONAL_TRIGGER,The narrator's description triggers the man's emotional response to return.,0.7,0.8
event/5624f7e6,event/ce0ab9ee,CULTURAL_EDUCATION,Narrator's belief reflects cultural understanding of death and burial practices.,0.7,0.8
event/0f9fae9a,event/a13c3531,EMOTIONAL_SUPPORT,"Providing food reflects care, prompting a strong emotional reaction.",0.7,0.8
event/45b40fde,event/69ebf212,IMAGINARY_CONSTRUCTION,Narrator constructs an image of father from tombstone ideas.,0.8,0.85
event/3b2c34cb,event/3cb6e82e,EMOTIONAL_TRIGGER,Grief over the tombstone triggers inquiry about Pip's mother.,0.7,0.8
event/551fcc32,event/c02405c7,PRECEDES,Event A occurs before Event B in the sequence.,0.9,0.95
event/6b2240e6,event/2703628c,EMOTIONAL_TRIGGER,The narrator's thoughts about cattle triggered fear.,0.7,0.8
event/83d241cc,event/3f8a01a5,COMMUNITY_GATHERING,The man's request indicates a desire to connect with the village.,0.7,0.8
event/6c6aba38,event/3b2c34cb,EMOTIONAL_TRIGGER,The man's threat triggered a strong emotional response.,0.8,0.85
event/43bcb6ef,event/de543a5d,PHYSICAL_SENSATION,Limping may cause discomfort leading to shivering.,0.7,0.8
event/a13c3531,event/9687e721,EMOTIONAL_TRIGGER,The man's threat may provoke urgency in the listener's actions.,0.7,0.8
event/6c6aba38,event/bad18f59,EMOTIONAL_TRIGGER,The man's threat triggered a hopeful response.,0.7,0.8
event/5004b332,event/4e86e5e2,EMOTIONAL_TRIGGER,Giddiness triggered hopefulness about health.,0.7,0.8
event/775a9234,event/c15c5023,EMOTIONAL_TRIGGER,"Chattering teeth indicate fear or anxiety, prompting a stare.",0.7,0.8
event/3e82d3ad,event/9b820157,EMOTIONAL_TRIGGER,The threat induces fear in the narrator.,0.8,0.9
event/83d241cc,event/4d492d90,COMMUNICATION_BARRIER,Misunderstanding led to a request for clarification about location.,0.7,0.8
event/da957808,event/93a78db4,EMOTIONAL_TRIGGER,Holding onto the tombstone triggered his stopping.,0.7,0.8
event/e176cf95,event/74763c3e,PHYSICAL_ACTION,Using legs effectively leads to observing movement towards the river.,0.8,0.75
event/cf519e83,event/64ffeb85,PHYSICAL_ACTION,Struggling to hold off leads to a commitment to retrieve the file.,0.7,0.8
event/6275bb97,event/cccf76a6,EMOTIONAL_TRIGGER,"The belief evokes strong emotions, leading to a memorable experience.",0.7,0.8
event/6eb6b4b4,event/f68be030,IMAGINARY_CONSTRUCTION,The narrator's implication creates a fictional reality for the man.,0.8,0.85
event/e3ce79f1,event/6eb6b4b4,CONTRASTS,Describing the beacon as ugly contrasts with the man's heroic implication.,0.8,0.85
event/d83735eb,event/9687e721,EMOTIONAL_TRIGGER,Reminding evokes feelings that prompt action.,0.7,0.8
event/c4406c70,event/f20e1e1e,COMMUNICATION_BARRIER,Timidity may hinder clear identification of relationships.,0.7,0.8
event/0b871d5a,event/9f2fbb8c,PERCEPTION_SHIFT,Change in perception from marshes to a distant lair.,0.8,0.85
event/940c0686,event/6eb6b4b4,HUMANITY_QUESTIONING,The man's limp raises questions about his identity and past.,0.7,0.8
event/ce220e71,event/98750389,PRECEDES,Discovery of the churchyard leads to perception of the wilderness.,0.8,0.9
event/50e1756f,event/8cb71b31,EMOTIONAL_TRIGGER,The church's self-awareness prompts a dramatic action.,0.7,0.8
event/c4761f76,event/dd507b69,IDENTITY_CONFLICT,Pip's name reflects his struggle with identity and family background.,0.7,0.8
event/0b21f30f,event/137cd39a,COMMUNICATION_BARRIER,His return prompts acknowledgment of others present.,0.7,0.8
event/68c6b052,event/53a8df5d,COMMUNICATION_BARRIER,The narrator's helplessness indicates a lack of understanding.,0.7,0.8
event/f052e150,event/3e82d3ad,PHYSICAL_ACTION,One action leads to a threatening response.,0.7,0.8
event/c8ef63d9,event/68c6b052,PHYSICAL_ACTION,The man's action directly influences the narrator's helpless gaze.,0.8,0.9
event/bb677293,event/b17d766f,NAMING_CONVENTION,Family name influences personal identity and self-reference.,0.8,0.9
event/25c1e993,event/66940d31,EMOTIONAL_TRIGGER,Desire to suppress emotions triggered his action.,0.8,0.85
event/45b40fde,event/7a5f0777,CULTURAL_EDUCATION,Tombstones provide insights into parental identity and beliefs.,0.7,0.8
event/5249725d,event/0dbcaeee,EMOTIONAL_TRIGGER,His wish triggered a physical response of self-hugging.,0.7,0.8
event/d83c9303,event/ad9fa25a,EMOTIONAL_TRIGGER,The speaker's reference evokes a strong emotional response in the narrator.,0.7,0.8
event/e537167d,event/25c1e993,EMOTIONAL_TRIGGER,The man's statement triggered emotional distress in the listener.,0.7,0.8
event/3b2c34cb,event/1a0f6f2b,EMOTIONAL_TRIGGER,Holding tighter indicates a strong emotional connection to the tombstone.,0.8,0.85
event/7e04e8df,event/72d4013c,PHYSICAL_ACTION,The glance indicates awareness before the limping action.,0.7,0.8
event/847c1aa3,event/bc0bbd0f,PHYSICAL_ACTION,The action of tearing prompts a response from the narrator.,0.8,0.85
event/f20e1e1e,event/137cd39a,EMOTIONAL_CONFESSION,Identifying Georgiana triggers acknowledgment of relationships.,0.7,0.8
event/1d560019,event/c08726c2,EMOTIONAL_TRIGGER,The comment triggered feelings about self-image and growth.,0.7,0.8
event/6cab01b7,event/cc8e470d,PHYSICAL_ACTION,The man's approach prompted a physical response from the narrator.,0.8,0.85
event/b1a47ed2,event/9f2fbb8c,PERCEPTION_SHIFT,Change in perception from river to sea.,0.8,0.85
event/555154c1,event/d83c9303,HUMOROUS_REMARK,Surprise exclamation leads to a humorous reference.,0.7,0.8
event/eeb8d1cf,event/04cffd6d,CONTRASTS,The river's line contrasts with the visibility of black objects.,0.8,0.85
event/6b2240e6,event/8470b653,CONFUSES,The narrator's thoughts about cattle lead to confusion regarding the young man.,0.7,0.8
event/92dc74d9,event/0bb472f7,EMOTIONAL_TRIGGER,Pip's fear triggers a response from the convict.,0.8,0.85
event/0bb472f7,event/1aa70bc2,IRONIC_RESPONSE,"The convict's statement contrasts his actions, creating irony.",0.8,0.85
event/e420ea7a,event/73ef5f36,EMOTIONAL_TRIGGER,The act of drawing clothes triggers feelings of comfort and safety.,0.8,0.85
event/84cb3426,event/6cab01b7,HUMOROUS_REMARK,"The remark lightens the mood, prompting the man to approach.",0.7,0.8
event/bc0bbd0f,event/406323a2,COMMUNICATION_BARRIER,The narrator's question may hinder direct understanding.,0.7,0.8
event/cbb4ce81,event/c4761f76,NAMING_CONVENTION,Philip is a formal name that leads to the nickname Pip.,0.9,0.95
event/f20e1e1e,event/555154c1,AGE_SURPRISE,The revelation of Georgiana's identity surprised the speaker.,0.8,0.9
event/eecb67a7,event/e03b7025,NARRATIVE_COMPOSITE,Narrator's limited language shapes the naming of Pirrip.,0.8,0.9
event/330900e1,event/de543a5d,PHYSICAL_SENSATION,"The cut caused pain, leading to shivering.",0.8,0.9
event/4e86e5e2,event/92d5c1a0,EMOTIONAL_TRIGGER,Hope for health triggers desire for social engagement.,0.8,0.85
event/2870468f,event/ccc343f0,BELIEF_DISMISSAL,Narrator's belief influences perception of man's desire.,0.7,0.8
event/69ebf212,event/c3d74bf8,CONFUSES,Imagining the father leads to a misunderstanding about the mother.,0.7,0.8
event/1aa70bc2,event/cb00cf25,EMOTIONAL_TRIGGER,The convict's statement triggers Pip's fear.,0.8,0.9
event/d65ae510,event/dc857b80,HUMOROUS_REMARK,Both events describe a playful or exaggerated action.,0.7,0.8
event/7335f94f,event/68c6b052,EMOTIONAL_TRIGGER,The man's gaze evokes a feeling of helplessness in the narrator.,0.8,0.9
event/0dbcaeee,event/72d4013c,EMOTIONAL_SUPPORT,"The hug provides comfort, leading to movement towards the wall.",0.8,0.85
event/e420ea7a,event/847c1aa3,VIOLENCE_RESOLUTION,The boy's action provokes a violent reaction from the young man.,0.8,0.75
event/cccf76a6,event/ce220e71,EMOTIONAL_TRIGGER,Memorable experiences can trigger significant realizations about places.,0.7,0.8
event/a13c3531,event/4555633c,EMOTIONAL_TRIGGER,The man's words evoke a strong emotional response related to commitment.,0.8,0.85
event/c02405c7,event/e47bc000,PRECEDES,Event A occurs before the decision in Event B.,0.8,0.9
event/d3a42f5d,event/1150011f,EMOTIONAL_TRIGGER,Fearful terms prompted him to continue the conversation.,0.7,0.8
event/551fcc32,event/74763c3e,PRECEDES,Event A occurs before Event B in the narrative.,0.9,0.95
event/1e48ec60,event/847c1aa3,PHYSICAL_ACTION,The young man's creeping leads to a violent action.,0.8,0.9
event/4b2b7b04,event/a0a78fa3,PHYSICAL_DETERIORATION,"The rag suggests neglect, leading to mud accumulation.",0.7,0.8
event/60ee9681,event/93908411,EMOTIONAL_TRIGGER,"Briars caused pain, triggering a growl of frustration.",0.8,0.85
event/bcdb90bb,event/1a4d495b,ANGER_MISPLACEMENT,The man's anger misdirected towards the little devil.,0.7,0.8
event/4e4735ab,event/d385a7e1,EMOTIONAL_TRIGGER,The man's glare instigated fear in the speaker.,0.8,0.9
event/27304873,event/cccf76a6,EMOTIONAL_TRIGGER,Reflection triggers strong emotional memories of the afternoon.,0.8,0.85
event/6ede448a,event/93a78db4,PRECEDES,The run occurred before he stopped.,0.9,0.95
event/3cb6e82e,event/66940d31,COMMUNICATION_BARRIER,The man's question creates a barrier to understanding Pip's situation.,0.7,0.8
event/13bb3b67,event/6275bb97,BELIEF_DISMISSAL,Narrator dismisses the belief about brothers' behavior.,0.7,0.8
event/c15c5023,event/8d9c7b4d,EMOTIONAL_TRIGGER,The man's stare prompted the narrator to respond with direction.,0.7,0.8
event/0d398d62,event/6ebeec43,FAMILY_BACKGROUND_REACTION,Sister's marriage highlights narrator's lack of parental presence.,0.7,0.8
event/3a80d581,event/3e82d3ad,EMOTIONAL_DESPAIR,Helplessness leads to extreme actions like threats.,0.8,0.75
event/43bcb6ef,event/93908411,PHYSICAL_SENSATION,Limping may cause frustration leading to growling.,0.7,0.8
event/1d560019,event/67e5ad2b,EMOTIONAL_TRIGGER,The comment triggered feelings of inadequacy in the narrator.,0.7,0.8
event/80bca57a,event/68c6b052,EMOTIONAL_TRIGGER,Joe's identity evokes a sense of helplessness in the narrator.,0.7,0.8
event/555154c1,event/c93a13e6,EMOTIONAL_TRIGGER,Surprise from exclamation triggered a question about family.,0.7,0.8
event/5d85d43b,event/7335f94f,EMOTIONAL_TRIGGER,The man's dark look triggers a powerful gaze towards the narrator.,0.7,0.8
event/4cf2cced,event/04cffd6d,CONFUSES,The sky's appearance creates confusion about visibility.,0.7,0.8
event/29562b8e,event/6275bb97,BELIEF_DISMISSAL,Indebtedness leads to dismissing brothers' actions in existence.,0.7,0.8
event/a07696fc,event/c0c0ea2b,PHYSICAL_ACTION,The dip and roll caused a change in my position.,0.8,0.9
event/eb57ee77,event/2870468f,CONFUSES,The term 'young dog' creates confusion about the subjects' appearance.,0.7,0.6
event/68c6b052,event/11b8a93a,EMOTIONAL_DESPAIR,The narrator's helplessness evokes a sense of despair regarding their fate.,0.8,0.85
event/0f9fae9a,event/1150011f,EMOTIONAL_SUPPORT,Providing food fosters connection and encourages conversation.,0.7,0.8
event/c15c5023,event/d40a45ee,EMOTIONAL_TRIGGER,The man's stare prompted a verbal response from the narrator.,0.7,0.8
event/25c1e993,event/da957808,EMOTIONAL_TRIGGER,Desire to suppress emotions triggered the need for physical connection.,0.8,0.85
event/da957808,event/3cb6e82e,EMOTIONAL_TRIGGER,Holding onto the tombstone triggered a question about Pip's mother.,0.7,0.8
event/f10afe12,event/4671b937,EMOTIONAL_TRIGGER,Uncertainty about life prompts indecision.,0.7,0.8
event/11b8a93a,event/259a0370,EMOTIONAL_TRIGGER,The speaker's question provokes a sense of threat in the listener.,0.8,0.9
event/f052e150,event/908fb546,PHYSICAL_ACTION,Tilting indicates a physical action leading to a demand.,0.7,0.8
event/93a78db4,event/f20e1e1e,PRECEDES,Stopping led to the identification of Georgiana.,0.7,0.8
event/971a9be1,event/83becb47,EMOTIONAL_TRIGGER,"The act of hugging oneself indicates emotional distress, prompting the narrator's concern.",0.8,0.85
event/528b0aa9,event/45b40fde,CULTURAL_EDUCATION,Tombstones provide cultural insights about the narrator's parents.,0.7,0.8
event/01b45407,event/01a87a42,PHYSICAL_ACTION,The man's gaze prompted a physical action of theft.,0.7,0.8
event/8d9c7b4d,event/4d492d90,ENABLING,The instruction enabled the action of pointing to the village.,0.8,0.9
event/bc0bbd0f,event/64ffeb85,COMMUNICATION_BARRIER,The narrator's question may lead to misunderstanding in response.,0.7,0.8
event/7a66ea7e,event/4671b937,COMMUNICATION_BARRIER,Questioning living arrangements may hinder decision-making clarity.,0.7,0.8
event/2a78aa1e,event/73ef5f36,EMOTIONAL_TRIGGER,Warmth in bed triggers feelings of comfort and safety.,0.8,0.9
event/0d398d62,event/528b0aa9,FAMILY_BACKGROUND_REACTION,Sister's identity influences narrator's perception of parents.,0.7,0.8
event/c0c0ea2b,event/dab6faca,PHYSICAL_CONFRONTATION,Upright position may lead to confrontation with the convict.,0.7,0.8
event/4789009d,event/bad18f59,EMOTIONAL_TRIGGER,"Trembling indicates anxiety, prompting a hopeful expression.",0.7,0.8
event/ccc343f0,event/1a0f6f2b,EMOTIONAL_TRIGGER,Desire to eat triggers thoughts of mortality and remembrance.,0.7,0.8
event/cccf76a6,event/479606d4,EMOTIONAL_TRIGGER,The memorable afternoon evokes strong emotions related to Philip's death.,0.8,0.75
event/ccc343f0,event/e537167d,CONFUSES,Desire to eat contrasts with the indication of eating them.,0.7,0.8
event/38afdaad,event/5624f7e6,EMOTIONAL_DESPAIR,The narrator's perception of their mother leads to grief over her death.,0.8,0.85
event/1950f794,event/f052e150,PHYSICAL_ACTION,Looking down indicates a physical adjustment or reaction.,0.7,0.8
event/0648414d,event/b073c17f,EMOTIONAL_TRIGGER,Fear or concern triggered the narrator's urgent response.,0.8,0.85
event/d65ae510,event/50e1756f,EMOTIONAL_TRIGGER,The man's action provoked a significant emotional response in the church.,0.7,0.8
event/13bb3b67,event/27304873,EMOTIONAL_TRIGGER,The belief triggered a reflective emotional response.,0.7,0.8
event/93908411,event/791fb243,PHYSICAL_ACTION,The growl indicates aggression leading to physical action.,0.8,0.9
event/1802e08c,event/eb57ee77,HUMANITY_QUESTIONING,The steeple's presence prompts reflection on identity and social status.,0.7,0.8
event/43bcb6ef,event/775a9234,PHYSICAL_DETERIORATION,Limping may indicate physical pain causing teeth chattering.,0.7,0.8
event/66940d31,event/c4406c70,EMOTIONAL_TRIGGER,Starting can trigger a timid response in speakers.,0.7,0.8
event/64ffeb85,event/1150011f,ENCOURAGES,The promise to provide the file prompted further discussion.,0.7,0.8
event/7335f94f,event/a13c3531,EMOTIONAL_TRIGGER,The man's intense gaze provokes a strong emotional response in the narrator.,0.8,0.85
event/8470b653,event/b073c17f,EMOTIONAL_TRIGGER,Fear of the young man triggered the narrator's urgent escape.,0.8,0.9
event/c15c5023,event/5d85d43b,EMOTIONAL_TRIGGER,The man's stare indicates emotional tension affecting his actions.,0.7,0.8
event/9687e721,event/0dbcaeee,EMOTIONAL_SUPPORT,The instruction to go home leads to a comforting embrace.,0.8,0.85
event/4789009d,event/1d560019,EMOTIONAL_TRIGGER,"Trembling indicates anxiety, triggering a comment on Pip's appearance.",0.7,0.8
event/775a9234,event/d385a7e1,EMOTIONAL_TRIGGER,"The man's chattering teeth indicate fear, triggering the speaker's terror.",0.8,0.85
event/5d85d43b,event/6cab01b7,EMOTIONAL_TRIGGER,The man's dark look indicates emotional distress prompting his approach to the tombstone.,0.8,0.85
event/137cd39a,event/97eb5c67,COMMUNICATION_BARRIER,Acknowledgment may lead to consideration of the other person's perspective.,0.7,0.8
event/b1a47ed2,event/14cc7149,EMOTIONAL_TRIGGER,The river's appearance triggered the man's emotional response.,0.7,0.8
event/5471ff4f,event/b8ae0617,HISTORICAL_COMPARISON,Describing the marsh sets the scene for the river's journey.,0.7,0.8
event/eeb8d1cf,event/7674fd0b,CONTRASTS,The river's line contrasts with the beacon's vertical presence.,0.7,0.8
event/d8205350,event/472f7ead,PHYSICAL_ACTION,Danger perception triggers aggressive physical response.,0.8,0.75
event/4555633c,event/7e04e8df,EMOTIONAL_TRIGGER,The reminder evokes a reflective emotional response in the listener.,0.7,0.8
event/ad3c2706,event/0648414d,EMOTIONAL_DESPAIR,The narrator's emotional state leads to a lack of perception.,0.8,0.75
event/bad18f59,event/1a0f6f2b,EMOTIONAL_APOLOGY,Expressing hope reflects a desire for emotional reconciliation.,0.7,0.8
event/ee56a4d3,event/45b40fde,NOSTALGIA_INDUCEMENT,Reflection triggers memories influencing perceptions of parents.,0.8,0.85
event/f052e150,event/a07696fc,PHYSICAL_ACTION,One action leads to a more intense physical response.,0.8,0.9
event/36504ca4,event/406323a2,PREVENTS,Difficulty in keeping the young man away hinders access to the boy.,0.8,0.85
event/cc8e470d,event/c8ef63d9,PHYSICAL_ACTION,The man's grip initiates a physical response from the narrator.,0.8,0.9
event/1e48ec60,event/cf519e83,PHYSICAL_ACTION,The young man's approach triggers a physical response from the narrator.,0.8,0.85
event/73ef5f36,event/b9931f87,PROTECTIVE_INSTINCT,The narrator acts to protect the boy from potential harm.,0.85,0.9
event/551fcc32,event/18403b28,IMAGINARY_CONSTRUCTION,Imagines a surreal scenario of the dead rising.,0.8,0.9
event/74763c3e,event/aac65812,PRECEDES,Event A occurs before the observation in Event B.,0.8,0.9
event/c08726c2,event/6c6aba38,PHYSICAL_BLOCKAGE,"Narrator's size may hinder assertiveness, provoking threats.",0.7,0.8
event/67e5ad2b,event/e537167d,EMOTIONAL_DESPAIR,"Weakness leads to despair, prompting extreme thoughts.",0.7,0.8
event/eeb8d1cf,event/e3ce79f1,CONTRASTS,The river's appearance contrasts with the narrator's negative view of the beacon.,0.8,0.85
event/7674fd0b,event/07ee8f41,HUMANITY_QUESTIONING,The beacon prompts reflection on the gibbet's grim significance.,0.7,0.8
event/c3d74bf8,event/25a6f65b,EMOTIONAL_TRIGGER,Childish conclusions evoke strong emotional memories.,0.7,0.8
event/50e1756f,event/1802e08c,EMOTIONAL_TRIGGER,The church's realization evokes a personal vision of the steeple.,0.7,0.8
event/4a853fd7,event/e176cf95,PHYSICAL_ACTION,Looking for someone prompts physical movement.,0.7,0.8
event/0dbcaeee,event/0a6e3f75,EMOTIONAL_TRIGGER,"The hug signifies emotional distress, triggering a vision of death.",0.8,0.85
event/0b871d5a,event/b1a47ed2,PERCEPTION_SHIFT,Change in perception from marshes to river.,0.7,0.8
event/1950f794,event/5d85d43b,EMOTIONAL_TRIGGER,The man's gaze indicates emotional distress related to his leg.,0.8,0.85
event/c08726c2,event/e537167d,CONFUSES,The narrator's size creates a misunderstanding of their capabilities.,0.7,0.8
event/1f311084,event/e176cf95,PHYSICAL_ACTION,Climbing the wall enabled better use of legs.,0.8,0.85
