:ID,name,actionType,source_quote,confidence,sequence,chapter,time,location,scene_id,theme_POWER_involvement,theme_POWER_role,theme_POWER_confidence,theme_POWER_evidence,theme_WEALTH_involvement,theme_WEALTH_role,theme_WEALTH_confidence,theme_WEALTH_evidence,theme_KINSHIP_involvement,theme_KINSHIP_role,theme_KINSHIP_confidence,theme_KINSHIP_evidence,theme_JUSTICE_involvement,theme_JUSTICE_role,theme_JUSTICE_confidence,theme_JUSTICE_evidence,theme_KNOWLEDGE_involvement,theme_KNOWLEDGE_role,theme_KNOWLEDGE_confidence,theme_KNOWLEDGE_evidence,theme_annotations_raw
event/31b767ce,Philip Pirrip recognized that Philip Pirrip and Georgiana Pirrip were dead and buried.,ACKNOWLEDGMENT,,0.9,10,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,latent,revealing,0.58,"""Philip Pirrip recognized that Philip Pirrip and Georgiana Pirrip were dead and buried."" This reveals the status of his close family ties as deceased.",none,,0.0,,direct,revealing,0.9,"""recognized that Philip Pirrip and Georgiana Pirrip were dead and buried"" after ""Reading and understanding the tombstone inscriptions.""","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\""recognized that Philip Pirrip and Georgiana Pirrip were dead and buried\"" after \""Reading and understanding the tombstone inscriptions.\"""", ""signals"": [""recognized"", ""tombstone inscriptions"", ""dead and buried""], ""confidence"": 0.9}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""latent"", ""role"": ""revealing"", ""evidence"": ""\""Philip Pirrip recognized that Philip Pirrip and Georgiana Pirrip were dead and buried.\"" This reveals the status of his close family ties as deceased."", ""signals"": [""Philip Pirrip and Georgiana Pirrip"", ""dead and buried"", ""recognized""], ""confidence"": 0.58}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/79d8fec1,"Philip Pirrip recognized that Alexander Pirrip, Bartholomew Pirrip, Abraham Pirrip, Tobias Pirrip, and Roger Pirrip were also dead and buried.",ACKNOWLEDGMENT,,0.9,11,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,latent,revealing,0.41,"He recognized that Alexander, Bartholomew, Abraham, Tobias, and Roger Pirrip were 'also dead and buried,' invoking family ties by shared surname.",none,,0.0,,direct,revealing,0.78,"Philip Pirrip 'recognized that Alexander Pirrip, Bartholomew Pirrip, Abraham Pirrip, Tobias Pirrip, and Roger Pirrip were also dead and buried.' Recognition of the five little stone lozenges as graves.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip 'recognized that Alexander Pirrip, Bartholomew Pirrip, Abraham Pirrip, Tobias Pirrip, and Roger Pirrip were also dead and buried.' Recognition of the five little stone lozenges as graves."", ""signals"": [""recognized"", ""dead and buried"", ""stone lozenges"", ""graves""], ""confidence"": 0.78}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""latent"", ""role"": ""revealing"", ""evidence"": ""He recognized that Alexander, Bartholomew, Abraham, Tobias, and Roger Pirrip were 'also dead and buried,' invoking family ties by shared surname."", ""signals"": [""Pirrip (shared surname)"", ""recognized"", ""dead and buried"", ""graves""], ""confidence"": 0.41}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/4709db0c,"Philip Pirrip recognized that the dark flat wilderness beyond the churchyard was the marshes, the low leaden line was the river, and the distant savage lair was the sea.",ACKNOWLEDGMENT,,0.88,12,1,A memorable raw afternoon towards evening,Churchyard and surrounding marsh country,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,latent,revealing,0.38,"Philip Pirrip recognized that the dark flat wilderness was the marshes, the low leaden line was the river, and the distant savage lair was the sea.","{""KNOWLEDGE"": {""involvement"": ""latent"", ""role"": ""revealing"", ""evidence"": ""Philip Pirrip recognized that the dark flat wilderness was the marshes, the low leaden line was the river, and the distant savage lair was the sea."", ""signals"": [""recognized"", ""was the marshes"", ""was the river"", ""was the sea""], ""confidence"": 0.38}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/1030011c,Philip Pirrip realized that the small bundle of shivers growing afraid of it all was Philip Pirrip.,ACKNOWLEDGMENT,,0.88,13,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/ddd33616,Philip Pirrip began to cry from fear.,CHARACTER_EMOTION_SPIKE,,0.92,14,1,A memorable raw afternoon towards evening,Churchyard,,indirect,mediating,0.40800000000000003,Bridge: linked to event/71899cf6 via SCENE_CAUSATION which has direct POWER involvement.,none,,0.0,,none,,0.0,,indirect,mediating,0.46799999999999997,Bridge: linked to event/71899cf6 via SCENE_CAUSATION which has direct JUSTICE involvement.,indirect,enabling,0.7,"Philip Pirrip began to cry from fear, and Pip’s crying triggers the man’s sudden emergence and description.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""Philip Pirrip began to cry from fear, and Pip\u2019s crying triggers the man\u2019s sudden emergence and description."", ""signals"": [""began to cry"", ""triggers the man's emergence"", ""introduction/description of the man""], ""confidence"": 0.7}, ""JUSTICE"": {""involvement"": ""indirect"", ""role"": ""mediating"", ""evidence"": ""Bridge: linked to event/71899cf6 via SCENE_CAUSATION which has direct JUSTICE involvement."", ""signals"": [""bridge_from:event/71899cf6"", ""via:SCENE_CAUSATION""], ""confidence"": 0.46799999999999997, ""bridge_source"": ""event/71899cf6"", ""bridge_relation"": ""SCENE_CAUSATION""}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""indirect"", ""role"": ""mediating"", ""evidence"": ""Bridge: linked to event/71899cf6 via SCENE_CAUSATION which has direct POWER involvement."", ""signals"": [""bridge_from:event/71899cf6"", ""via:SCENE_CAUSATION""], ""confidence"": 0.40800000000000003, ""bridge_source"": ""event/71899cf6"", ""bridge_relation"": ""SCENE_CAUSATION""}}"
event/50c98f01,Abel Magwitch started up from among the graves at the side of the church porch.,ARRIVAL,,0.78,15,1,A memorable raw afternoon towards evening,Among the graves by the church porch,,indirect,enabling,0.56,"""started up from among the graves"" as he moves to ""confront or intercept Philip Pirrip,"" creating the setup for coercive confrontation moments later.",none,,0.0,,none,,0.0,,none,,0.0,,direct,revealing,0.7,"""started up from among the graves"" reveals his previously hidden presence to the nearby boy at the church porch.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\""started up from among the graves\"" reveals his previously hidden presence to the nearby boy at the church porch."", ""signals"": [""started up"", ""from among the graves"", ""appears suddenly""], ""confidence"": 0.7}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""\""started up from among the graves\"" as he moves to \""confront or intercept Philip Pirrip,\"" creating the setup for coercive confrontation moments later."", ""signals"": [""started up"", ""intercept"", ""confront""], ""confidence"": 0.56}}"
event/71899cf6,"Abel Magwitch was introduced as a fearful, mud-smeared man in coarse grey with an iron on his leg, hatless and rag-bound.",CHARACTER_INTRODUCTION,,0.82,16,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.68,"""with an iron on his leg"" indicates ongoing physical restraint imposed on him.",none,,0.0,,none,,0.0,,direct,initiating,0.78,"""with an iron on his leg"" presents him under penal restraint, i.e., punishment in force.",direct,revealing,0.62,"""Abel Magwitch was introduced... with an iron on his leg"" reveals his convict status to the observer.","{""KNOWLEDGE"": {""involvement"": ""direct"", ""role"": ""revealing"", ""evidence"": ""\""Abel Magwitch was introduced... with an iron on his leg\"" reveals his convict status to the observer."", ""signals"": [""introduced as"", ""iron on his leg"", ""appearance details""], ""confidence"": 0.62}, ""JUSTICE"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""with an iron on his leg\"" presents him under penal restraint, i.e., punishment in force."", ""signals"": [""iron on his leg"", ""coarse grey clothing"", ""rag-bound""], ""confidence"": 0.78}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""with an iron on his leg\"" indicates ongoing physical restraint imposed on him."", ""signals"": [""iron on his leg"", ""coarse grey (prison garb)"", ""rag-bound""], ""confidence"": 0.68}}"
event/dced6ad2,"Abel Magwitch, injured and cold, limped, shivered, glared, growled, and his teeth chattered.",CHARACTER_EMOTION_SPIKE,,0.85,17,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
event/1f27c7ae,Abel Magwitch shouted at Philip Pirrip to hold his noise and threatened to cut Philip Pirrip’s throat if he did not keep still.,ACTION_TENSION,,0.93,18,1,A memorable raw afternoon towards evening,Among the graves by the church porch,,direct,initiating,0.95,"He shouted at Philip to 'hold his noise' and threatened to cut his throat if he did not keep still, coercing his behavior by threat of violence.",none,,0.0,,none,,0.0,,direct,initiating,0.88,He 'threatened to cut Philip Pirrip’s throat'—an explicit threat of lethal violence constituting a legal/moral violation.,indirect,enabling,0.6,"By ordering him to 'hold his noise' and keep still under threat, he enforces silence that prevents information from being conveyed.","{""KNOWLEDGE"": {""involvement"": ""indirect"", ""role"": ""enabling"", ""evidence"": ""By ordering him to 'hold his noise' and keep still under threat, he enforces silence that prevents information from being conveyed."", ""signals"": [""hold his noise"", ""keep still"", ""silence enforced""], ""confidence"": 0.6}, ""JUSTICE"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""He 'threatened to cut Philip Pirrip\u2019s throat'\u2014an explicit threat of lethal violence constituting a legal/moral violation."", ""signals"": [""threatened"", ""cut his throat"", ""violence"", ""coercion""], ""confidence"": 0.88}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""He shouted at Philip to 'hold his noise' and threatened to cut his throat if he did not keep still, coercing his behavior by threat of violence."", ""signals"": [""threatened"", ""cut his throat"", ""hold his noise"", ""keep still""], ""confidence"": 0.95}}"
event/384e1efb,Abel Magwitch seized Philip Pirrip by the chin.,ACTION_TENSION,,0.94,19,1,A memorable raw afternoon towards evening,Churchyard,,direct,initiating,0.9,"""Abel Magwitch seized Philip Pirrip by the chin."" The physical seizure coerces and constrains Philip's immediate choices.",none,,0.0,,none,,0.0,,direct,initiating,0.75,"""seized Philip Pirrip by the chin"" constitutes non-consensual physical contact, a wrongful act.",none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""seized Philip Pirrip by the chin\"" constitutes non-consensual physical contact, a wrongful act."", ""signals"": [""seized"", ""non-consensual contact"", ""physical assault""], ""confidence"": 0.75}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""direct"", ""role"": ""initiating"", ""evidence"": ""\""Abel Magwitch seized Philip Pirrip by the chin.\"" The physical seizure coerces and constrains Philip's immediate choices."", ""signals"": [""seized"", ""by the chin"", ""physical restraint""], ""confidence"": 0.9}}"
event/6badbb21,"In terror, Philip Pirrip pleaded with Abel Magwitch not to cut his throat.",CHARACTER_EMOTION_SPIKE,,0.95,20,1,A memorable raw afternoon towards evening,Churchyard,,latent,constraining,0.42,"Philip Pirrip ""pleaded ... not to cut his throat,"" indicating he is responding to a coercive threat. The plea attempts to limit the threatened coercion.",none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""latent"", ""role"": ""constraining"", ""evidence"": ""Philip Pirrip \""pleaded ... not to cut his throat,\"" indicating he is responding to a coercive threat. The plea attempts to limit the threatened coercion."", ""signals"": [""pleaded"", ""not to cut his throat"", ""in terror""], ""confidence"": 0.42}}"
event/a1394c97,"Philip Pirrip pleaded, ""Pray don’t do it, sir.""",ACTION_TENSION,,0.9,21,1,A memorable raw afternoon towards evening,Churchyard,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,none,,0.0,,"{""KNOWLEDGE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""JUSTICE"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""WEALTH"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""KINSHIP"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}, ""POWER"": {""involvement"": ""none"", ""role"": null, ""evidence"": """", ""signals"": [], ""confidence"": 0.0}}"
