:ID,factor
why_narrator_is_afraid_of_falling_/877990b9,Narrator is afraid of falling or being removed
why_man’s_earlier_action_of_puttin/77eb1185,Man’s earlier action of putting narrator there
why_narrator_feels_strong_fear_or_/c7613a93,Narrator feels strong fear or distress
why_threatening_situation_with_the/08d3078a,Threatening situation with the man
why_the_man_wants_to_get_the_liste/5bb206de,the man wants to get the listener's attention forcefully
why_the_man_seeks_information_abou/072cd6f4,the man seeks information about the addressee's mother’s whereabouts
why_he_reacts_to_something_not_spe/aa89eac8,He reacts to something not specified in the sentence
why_follows_immediately_after_star/1c708efb,"Follows immediately after starting, suggesting a brief burst of motion"
why_he_ends_the_short_run/0e1a4cc0,He ends the short run
"why_he_may_be_checking_behind_him,/7a8c4e5a","He may be checking behind him, implying caution or fear though not explicit"
why_unspecified_man_previously_req/6d680176,Unspecified man previously requested or needed clarification about who Georgiana is
why_narrator_feels_timid_or_intimi/761007f4,Narrator feels timid or intimidated by the interlocutor or situation
why_narrator_wants_to_identify_geo/a2e26516,Narrator wants to identify Georgiana as his mother
why_power_imbalance_or_social_dist/b86db616,Power imbalance or social distance between Narrator and the man addressed as 'sir'
why_narrator_is_engaged_in_an_expl/081bbc1b,Narrator is engaged in an explanation that may feel exposing or uncertain
why_he_has_just_returned_to_the_in/83fc967f,He has just returned to the interlocutor and resumes interaction
why_he_wishes_to_continue_or_renew/6f11b735,He wishes to continue or renew the interaction with the other person
why_he_wants_to_identify_the_relat/2fedefc2,He wants to identify the relationship between the addressee and two other people
why_the_stranger_has_just_asked_pi/e753460f,The stranger has just asked Pip a question that this answer responds to
why_pip_is_engaged_in_a_conversati/ae3e410a,Pip is engaged in a conversation and is cooperating by providing clarification
why_use_of_the_honorific_'sir'_imp/2100a168,Use of the honorific 'sir' implies respect or deference
why_the_power_imbalance_between_th/2b2dc2d3,The power imbalance between the adult stranger and the young Pip in the wider scene
why_unidentified_man_is_thinking_a/45f8e619,Unidentified man is thinking about the situation and about the child's fate
why_unidentified_man_holds_power_o/f892d466,Unidentified man holds power over whether the child will be allowed to live
why_unidentified_man_is_deciding_w/3947daf9,Unidentified man is deciding whether to let the child live
why_unidentified_man_has_not_decid/47bd8092,Unidentified man has not decided whether to let the child live
why_unidentified_man_wants_to_inti/f99da370,Unidentified man wants to intimidate or control the child
why_unidentified_man_wants_informa/8dcbb688,Unidentified man wants information about the child’s household
why_unidentified_man_may_be_assess/38e01a3a,Unidentified man may be assessing possible interference or consequences
why_narrator_is_responding_to_or_a/8bdeea51,Narrator is responding to or anticipating a question about his family
why_social_convention_to_identify_/d10ebf2b,Social convention to identify a woman by her marital and occupational association with her husband
why_narrator_repeatedly_addresses_/cc48c439,Narrator repeatedly addresses the interlocutor as 'sir'
why_likely_power_or_status_differe/90815839,Likely power or status difference between narrator and interlocutor
why_unidentified_man_is_reacting_t/c5d1fcc1,Unidentified man is reacting to information or assumption about a blacksmith
why_unidentified_man_may_be_checki/02fba767,Unidentified man may be checking condition of his leg or relating it to the idea of a blacksmith
why_mysterious_man_is_assessing_hi/73b213c4,Mysterious man is assessing his own injured leg
why_mysterious_man_is_scrutinizing/51a14ca7,Mysterious man is scrutinizing Pip as a potential resource or threat
why_mysterious_man_decides_to_act_/3665e8e0,Mysterious man decides to act after observing Pip
why_mysterious_man_likely_needs_he/c9ac3ebc,Mysterious man likely needs help or control over Pip
why_mysterious_man_aims_to_physica/aaa97cdd,Mysterious man aims to physically control Pip
why_mysterious_man_may_fear_pip_es/74fb672b,Mysterious man may fear Pip escaping or resisting
why_mysterious_man_wants_to_physic/a10c7d69,Mysterious man wants to physically dominate and unbalance Pip
why_mysterious_man_may_be_position/3ac5445b,Mysterious man may be positioning Pip to intimidate him
why_mysterious_man_uses_eye_contac/8d36662c,Mysterious man uses eye contact to intimidate Pip
why_mysterious_man_is_closely_scru/d0f8db89,Mysterious man is closely scrutinizing Pip's reactions
why_pip_is_physically_constrained_/9b1114ed,Pip is physically constrained and must look up at him
why_pip_feels_overwhelmed_and_powe/bab0e97c,Pip feels overwhelmed and powerless before the man's dominance
why_pip_is_physically_overpowered_/a7ad3007,Pip is physically overpowered and tilted back
"why_the_man's_powerful,_intimidati/fee08ba3","The man's powerful, intimidating gaze heightens Pip's fear and helplessness"
why_unidentified_man_is_threatenin/149bf637,Unidentified man is threatening Pip's life to intimidate him
why_unidentified_man_needs_coopera/774ef113,Unidentified man needs cooperation or information from Pip
why_unidentified_man_wants_to_know/24a9c3dc,"Unidentified man wants to know if Pip understands what a file is, likely to request one"
why_unidentified_man_is_assessing_/da976a19,Unidentified man is assessing Pip’s usefulness and ability to help
why_unidentified_man_explicitly_fr/6eca531f,Unidentified man explicitly frames Pip’s survival as a question
why_pip_is_alone_and_vulnerable_wi/59c08b6b,Pip is alone and vulnerable with a threatening escaped convict
why_unnamed_man_is_interrogating_t/25060044,Unnamed man is interrogating the Narrator
why_immediate_follow-up_to_each_qu/819404c9,Immediate follow-up to each question
why_desire_to_intimidate_or_contro/9377b751,Desire to intimidate or control the Narrator
why_physical_tilting_by_the_unname/87d65934,Physical tilting by the Unnamed man
why_physical_imbalance_and_threate/92e7f43c,Physical imbalance and threatening behavior by the Unnamed man
"why_abel_magwitch_needs_a_file,_li/457e023a","Abel Magwitch needs a file, likely to aid his escape as a convict"
why_abel_magwitch_is_threatening_p/643f9fde,Abel Magwitch is threatening Pip to ensure obedience
why_abel_magwitch_wants_to_reinfor/f1589c4b,Abel Magwitch wants to reinforce his verbal command with physical threat
why_abel_magwitch_needs_food_to_su/2efc71a7,Abel Magwitch needs food to survive while hiding as a convict
why_abel_magwitch_is_issuing_speci/6219a083,Abel Magwitch is issuing specific demands to Pip under duress
why_abel_magwitch_repeats_the_phys/305f7073,Abel Magwitch repeats the physical threat to increase fear and compliance
why_abel_magwitch_clarifies_that_p/a66ac4b9,Abel Magwitch clarifies that Pip must deliver both the file and food directly to him
why_abel_magwitch_continues_using_/31e92309,Abel Magwitch continues using physical handling to enforce his instructions
why_abel_magwitch_wants_to_ensure_/a49c12be,Abel Magwitch wants to ensure Pip understands the severe consequences of disobedience
why_abel_magwitch_uses_graphic_vio/2bd8bc50,Abel Magwitch uses graphic violence to terrify Pip
why_abel_magwitch_reinforces_his_v/912b2279,Abel Magwitch reinforces his verbal threat with physical manhandling
why_abel_magwitch_repeatedly_tilts/b2f08838,Abel Magwitch repeatedly tilts Pip and threatens to take his heart and liver out
why_convict's_earlier_threatening_/ef9dbc6e,Convict's earlier threatening behavior and physical intimidation
why_pip's_intense_fear_and_physica/a62286c2,Pip's intense fear and physical stress while with the convict
why_pip's_fear_of_falling_or_colla/a693b5a4,Pip's fear of falling or collapsing due to giddiness
why_pip's_dread_of_the_convict_and/68987b99,Pip's dread of the convict and the situation
why_pip_wants_physical_stability_t/85787909,Pip wants physical stability to avoid falling or fainting
why_pip's_fear_of_being_sick_in_fr/6e263d54,Pip's fear of being sick in front of the convict
why_pip_feels_giddy_and_anticipate/3b6eb935,Pip feels giddy and anticipates physical sickness
why_pip_wants_to_appease_the_convi/2740c026,Pip wants to appease the convict by promising better attention
why_pip's_desire_to_avoid_angering/ada81999,Pip's desire to avoid angering the convict
why_unnamed_man_wants_to_intimidat/764cd497,Unnamed man wants to intimidate and control Pip
why_unnamed_man_is_threatening_pip/6acbf264,Unnamed man is threatening Pip to enforce obedience
why_unnamed_man_shakes_pip_violent/c685caf5,Unnamed man shakes Pip violently
why_violent_motion_creates_a_disto/7ee1dda4,Violent motion creates a distorted or exaggerated perception of the surroundings
why_pip’s_frightened_and_overwhelm/b567ac52,Pip’s frightened and overwhelmed state alters his perception
why_unnamed_man_wants_to_keep_pip_/3f8a6c41,Unnamed man wants to keep Pip under control while he speaks
why_ongoing_attempt_to_intimidate_/c5632785,Ongoing attempt to intimidate and threaten Pip
why_unnamed_man_is_issuing_threats/ab342821,Unnamed man is issuing threats or warnings to Pip
why_unnamed_man’s_broader_goal_of_/53a2acea,Unnamed man’s broader goal of coercing Pip into obedience
why_unnamed_man’s_threatening_mann/295895be,Unnamed man’s threatening manner and words
why_pip’s_vulnerable_position_as_a/15f609e7,Pip’s vulnerable position as a child being physically restrained
why_abel_magwitch_needs_tools_(fil/9d9ca714,Abel Magwitch needs tools (file) and food (wittles) to aid his escape or survival
why_abel_magwitch_is_threatening_p/0a6d6de3,Abel Magwitch is threatening Pip and using coercion to secure compliance
why_abel_magwitch_needs_a_discreet/fc2e24ea,Abel Magwitch needs a discreet and known location for the exchange
why_abel_magwitch_wants_to_ensure_/5649a655,Abel Magwitch wants to ensure Pip clearly understands where to bring the items
why_abel_magwitch_fears_being_betr/45dffe86,Abel Magwitch fears being betrayed or reported to authorities
why_abel_magwitch_is_using_threats/341d9ea5,Abel Magwitch is using threats to enforce secrecy
why_abel_magwitch_wants_to_ensure_/9a28ce47,Abel Magwitch wants to ensure Pip complies with his demands
why_abel_magwitch_is_desperate_and/803330db,Abel Magwitch is desperate and willing to terrorize a child to secure help
why_abel_magwitch_uses_a_condition/0d84a1cb,Abel Magwitch uses a conditional reward (life) to reinforce obedience
why_abel_magwitch_recognizes_pip's/27662349,Abel Magwitch recognizes Pip's fear and leverages it to secure cooperation
why_abel_magwitch_wants_exact_comp/0527d895,Abel Magwitch wants exact compliance without modification or partial obedience
why_abel_magwitch_distrusts_others/f3bcb48c,Abel Magwitch distrusts others and anticipates possible attempts to evade his instructions
why_abel_magwitch_wants_to_increas/ca22d645,Abel Magwitch wants to increase the perceived threat by implying an accomplice
why_abel_magwitch_is_deliberately_/c1cc5180,Abel Magwitch is deliberately deceiving or exaggerating to intimidate Pip
why_abel_magwitch_wants_pip_to_bel/2f38d4a9,Abel Magwitch wants Pip to believe the unseen young man is more dangerous than himself
why_a_hyperbolic_self-description_/b86e2da1,A hyperbolic self-description as an 'Angel' emphasizes the supposed savagery of the accomplice
why_abel_magwitch_wants_pip_to_bel/982e7596,Abel Magwitch wants Pip to believe his threats are witnessed and backed by another person
why_abel_magwitch_suggests_account/29e22ce4,Abel Magwitch suggests accountability or reinforcement from the young man to intensify coercion
why_abel_magwitch_threatens_to_tea/e630a1f2,"Abel Magwitch threatens to tear out, roast, and eat Pip's heart and liver"
why_abel_magwitch_claims_to_have_a/fc20b496,"Abel Magwitch claims to have a hidden, more dangerous young accomplice"
why_speaker_wants_to_impress_dange/5f01c5bd,Speaker wants to impress danger of young man on boy
why_speaker_wants_to_persuade_boy_/224d8eac,Speaker wants to persuade boy that hiding is useless
why_boy_attempts_to_protect_himsel/f02d28b8,Boy attempts to protect himself from young man
why_boy_seeks_comfort_and_safety/c065d3fb,Boy seeks comfort and safety
why_boy_tries_to_increase_feeling_/2f39ba9f,Boy tries to increase feeling of security
why_boy_attempts_to_hide_himself_p/fabac6f1,Boy attempts to hide himself physically
why_boy's_self-protective_actions_/a0d8fb25,Boy's self-protective actions lead him to feel secure
why_young_man_is_characterized_as_/de67e6ae,Young man is characterized as relentlessly seeking boy
why_young_man_is_depicted_as_inten/2bcd149d,Young man is depicted as intending bodily harm
why_narrator_wants_to_convince_boy/aa6a8b76,Narrator wants to convince boy of narrator’s protective role
why_narrator_claims_to_protect_boy/f47c580d,Narrator claims to protect boy by restraining young man
why_effort_required_to_restrain_th/9a067041,Effort required to restrain the young man
why_narrator_wants_to_compel_the_b/ca6a55f8,Narrator wants to compel the boy to answer under threat
why_abel_magwitch_previously_deman/203c02d3,Abel Magwitch previously demanded a file from Pip under threat
why_abel_magwitch_is_hungry_and_ha/bb55d5a5,Abel Magwitch is hungry and has coerced Pip to bring food
why_pip_needs_to_deliver_the_file_/c1b16fce,Pip needs to deliver the file and food to Abel Magwitch
why_the_man_wants_to_coerce_the_ad/3feeb84d,the man wants to coerce the addressee into compliance
why_the_man_uses_threat_of_divine_/4d755eb3,the man uses threat of divine punishment to increase pressure
why_the_man_intends_to_intimidate_/42bc35dd,the man intends to intimidate the addressee into saying prescribed words
why_invocation_of_the_lord_as_an_a/f9857d17,invocation of the Lord as an agent of punishment
why_unnamed_man_wants_to_reinforce/adf10d6a,Unnamed man wants to reinforce his prior instructions and threats
why_unnamed_man_wants_to_ensure_th/56163e5a,Unnamed man wants to ensure the listener does not forget their undertaking
why_listener_has_previously_agreed/b99f240b,Listener has previously agreed to undertake something
why_listener_is_prompted_by_the_un/b7a96d21,Listener is prompted by the unnamed man’s command to remember
why_unnamed_man_uses_the_memory_of/fefac39d,Unnamed man uses the memory of the young man as a threat or warning
why_he_wants_to_keep_the_listener_/c4614d6e,He wants to keep the listener fearful and compliant
why_listener_is_explicitly_told_to/9bb8bf82,Listener is explicitly told to remember the young man
why_unnamed_man_wants_the_listener/bb6bb1f1,Unnamed man wants the listener to leave the current place promptly
why_ensuring_listener_carries_out_/9be7ed76,"Ensuring listener carries out the undertaken task, likely at home"
why_unidentified_man_reacts_to_som/2fc971a6,Unidentified man reacts to something just mentioned or done with contempt or disbelief
why_unidentified_man_is_taking_in_/b59280aa,Unidentified man is taking in his surroundings while speaking
why_the_flat_is_described_as_cold_/5ced4287,"The flat is described as cold and wet, likely prompting visual assessment"
why_unidentified_man_is_dissatisfi/13ff63c4,Unidentified man is dissatisfied with his current state or circumstances
"why_cold,_wet_environment_leads_hi/89aa0ff2","Cold, wet environment leads him to imagine being an animal suited to it"
why_unidentified_man_continues_ima/38b95456,Unidentified man continues imagining being a creature suited to wet conditions
why_ongoing_dissatisfaction_with_h/41f0eb14,Ongoing dissatisfaction with his human condition in this environment
"why_unknown_man_feels_cold,_fear,_/1829f253","Unknown man feels cold, fear, or physical distress causing his body to shudder"
why_immediate_attempt_to_steady_or/a9d2b105,Immediate attempt to steady or comfort himself
why_unknown_man_experiences_distre/7280a28b,Unknown man experiences distress or physical weakness and fears coming apart or breaking down
why_unknown_man_immediately_reacts/63974ddf,Unknown man immediately reacts to his shuddering by physically holding himself
why_unknown_man_is_injured_or_weak/0783ba39,"Unknown man is injured or weakened, causing him to limp"
why_unknown_man_wants_to_leave_his/496198c2,Unknown man wants to leave his current spot and reach the church wall
why_pip_is_present_in_the_churchya/a15f9102,Pip is present in the churchyard observing the unknown man
"why_unknown_man_moves_away,_drawin/517ea0b3","Unknown man moves away, drawing Pip's attention"
why_ground_is_overgrown_with_nettl/243ecb2b,"Ground is overgrown with nettles and brambles, requiring careful movement"
why_unknown_man_wants_to_avoid_bei/82258af9,Unknown man wants to avoid being hurt or impeded by the plants
"why_pip_is_a_child_with_an_active,/e418dabb","Pip is a child with an active, fearful imagination in a graveyard"
"why_unknown_man’s_cautious,_limpin/34879773","Unknown man’s cautious, limping movement among graves suggests to Pip an attempt to escape unseen forces"
why_presence_of_graves_and_'green_/1c3ac118,Presence of graves and 'green mounds' stimulates Pip’s imagination
why_pip_interprets_the_man’s_cauti/747b8329,Pip interprets the man’s cautious movement as a response to imagined dead hands
why_pip’s_fearful_or_morbid_imagin/ab3bd4cc,Pip’s fearful or morbid imagination about what dead people might do
why_the_man’s_limping_and_cautious/e90d5dec,The man’s limping and cautious movement near graves invites a fantasy of being seized
